Run,Time(ms),Memory(Bytes)
1,568.392,6905856
2,572.584,6955008
3,567.581,6860800
4,567.693,7045120
5,695.416,7045120
6,694.359,7045120
7,694.056,6955008
8,695.332,6926336
9,692.955,7028736
10,694.715,6897664
11,693.289,6918144
12,693.071,6856704
13,697.124,6914048
14,693.706,7000064
15,697.689,7053312
16,694.762,6918144
17,696.587,7008256
18,696.323,6856704
19,695.360,7000064
20,695.470,7000064
21,571.231,6856704
22,574.824,6995968
23,572.668,6942720
24,570.053,6905856
25,570.064,6914048
26,735.744,6897664
27,694.404,6905856
28,695.202,6848512
29,697.645,6914048
30,695.391,7000064
31,695.195,7032832
32,694.931,6938624
33,694.285,6901760
34,694.226,6942720
35,693.422,6860800
36,695.263,6848512
37,693.829,7012352
38,697.559,6950912
39,692.348,6897664
40,695.954,6852608
41,698.377,6914048
42,696.060,6848512
43,567.975,6934528
44,570.027,6995968
45,569.175,6885376
46,568.461,7000064
47,572.088,6848512
48,570.071,6901760
49,571.874,6942720
50,566.941,7032832
51,572.177,6995968
52,568.904,7008256
53,572.462,7000064
54,571.086,6914048
55,571.248,6893568
56,570.301,7000064
57,566.715,6856704
58,568.720,6856704
59,568.117,7004160
60,569.979,6942720
61,568.245,6905856
62,571.581,6914048
63,568.944,6852608
64,566.832,6926336
65,568.052,6901760
66,691.385,7053312
67,567.995,6901760
68,694.207,6950912
69,693.477,6856704
70,695.572,6942720
71,694.169,6852608
72,694.162,7057408
73,694.631,6856704
74,567.507,6987776
75,694.889,6938624
76,694.603,6848512
77,694.199,6995968
78,694.991,6856704
79,696.026,6995968
80,572.084,7008256
81,569.560,7000064
82,568.495,6950912
83,569.712,6942720
84,569.552,6901760
85,567.158,6938624
86,569.396,6926336
87,567.322,6918144
88,568.580,7053312
89,569.530,6930432
90,570.366,6926336
91,571.144,6930432
92,570.725,6864896
93,566.063,6955008
94,569.604,6926336
95,571.629,7045120
96,568.889,6955008
97,568.311,6856704
98,569.389,6938624
99,569.676,6950912
100,571.457,7000064

Statistics:
Average Time,626.416 ms
Max Time,735.744 ms
Average Memory,6.618 MB
Max Memory,6.730 MB
