Run,Time(ms),Memory(Bytes)
1,26.055,6897664
2,26.919,6950912
3,26.432,7032832
4,26.285,6860800
5,26.631,6955008
6,26.500,7004160
7,26.137,6922240
8,149.667,7004160
9,25.943,7032832
10,149.967,6856704
11,26.003,7045120
12,150.702,6995968
13,26.149,6942720
14,149.559,6918144
15,26.008,7000064
16,151.285,7008256
17,26.347,7008256
18,25.894,7000064
19,25.982,6930432
20,26.323,6950912
21,26.666,6914048
22,26.223,6901760
23,26.111,7000064
24,26.104,6918144
25,26.251,7053312
26,26.315,6848512
27,26.487,7008256
28,26.089,7757824
29,26.824,7057408
30,26.122,6914048
31,151.029,6860800
32,25.916,7000064
33,150.173,6918144
34,26.453,7032832
35,150.267,7049216
36,26.309,6905856
37,150.630,7028736
38,26.048,7000064
39,26.107,7053312
40,26.021,6914048
41,25.931,6901760
42,26.145,6938624
43,25.954,6914048
44,26.196,7012352
45,25.760,6926336
46,26.269,7045120
47,26.184,6856704
48,26.139,6938624
49,25.914,6856704
50,26.253,6914048
51,26.525,7008256
52,27.115,6860800
53,26.461,6938624
54,150.515,6950912
55,26.653,6942720
56,150.153,7008256
57,26.124,7000064
58,150.556,6897664
59,25.994,6938624
60,151.168,6901760
61,26.538,6918144
62,150.660,7045120
63,26.253,7045120
64,26.055,6901760
65,26.298,6922240
66,26.217,7057408
67,26.637,7057408
68,26.269,7049216
69,26.034,7000064
70,26.285,6901760
71,26.488,6942720
72,26.272,6938624
73,26.173,6942720
74,25.943,7045120
75,26.268,7008256
76,26.727,7000064
77,26.075,7008256
78,25.985,6918144
79,150.149,6926336
80,26.317,7000064
81,151.039,7049216
82,25.963,6918144
83,151.188,6918144
84,26.572,6901760
85,150.961,6909952
86,26.291,7012352
87,26.056,7032832
88,26.801,7028736
89,25.959,6914048
90,26.047,7008256
91,25.968,6930432
92,26.109,6995968
93,25.915,6860800
94,27.265,6901760
95,26.491,6918144
96,25.989,7053312
97,26.353,6905856
98,26.423,7000064
99,25.938,7008256
100,26.802,6848512

Statistics:
Average Time,48.627 ms
Max Time,151.285 ms
Average Memory,6.647 MB
Max Memory,7.398 MB
