Run,Time(ms),Memory(Bytes)
1,28.049,6918144
2,152.726,7004160
3,27.908,7000064
4,28.182,6942720
5,151.957,6897664
6,27.475,6995968
7,27.968,6995968
8,27.797,7008256
9,27.259,6918144
10,151.094,7000064
11,27.852,6955008
12,27.677,6955008
13,152.372,6914048
14,35.379,6938624
15,28.036,6852608
16,28.027,7049216
17,27.733,7045120
18,27.822,6901760
19,153.563,7012352
20,27.971,7032832
21,27.629,7008256
22,152.124,6905856
23,27.821,6918144
24,27.900,6856704
25,27.641,7028736
26,27.711,7049216
27,151.905,6914048
28,29.331,6860800
29,27.838,6860800
30,152.973,6926336
31,27.780,7028736
32,28.539,7057408
33,27.662,6848512
34,28.504,6918144
35,153.909,6942720
36,28.369,6950912
37,27.926,6938624
38,152.759,6914048
39,27.923,7045120
40,28.356,6950912
41,27.874,6901760
42,27.643,7004160
43,153.576,7012352
44,28.058,6868992
45,27.721,7004160
46,152.835,6926336
47,28.605,7004160
48,28.071,6836224
49,27.902,7004160
50,27.896,7000064
51,153.866,6848512
52,27.725,6901760
53,27.836,6995968
54,152.317,6942720
55,27.977,6950912
56,28.203,6995968
57,28.234,6918144
58,27.783,6930432
59,153.938,7045120
60,28.053,7045120
61,27.883,6950912
62,27.723,7049216
63,27.802,6950912
64,28.442,7032832
65,27.765,6938624
66,27.598,6942720
67,152.684,6942720
68,27.749,6901760
69,27.708,6897664
70,27.629,6938624
71,27.718,6950912
72,153.201,6918144
73,28.494,6979584
74,27.945,6950912
75,152.457,6955008
76,27.715,7045120
77,28.836,6938624
78,27.811,6901760
79,28.084,6950912
80,153.050,7000064
81,27.860,6889472
82,28.036,6893568
83,151.495,6938624
84,28.476,6926336
85,28.369,6938624
86,28.075,7045120
87,27.858,7032832
88,152.574,7012352
89,28.077,7008256
90,29.165,7049216
91,153.188,7000064
92,27.890,7012352
93,27.691,6995968
94,28.122,6926336
95,27.810,6905856
96,152.937,6914048
97,27.640,6930432
98,28.969,6942720
99,153.570,7004160
100,29.067,6930432

Statistics:
Average Time,58.027 ms
Max Time,153.938 ms
Average Memory,6.636 MB
Max Memory,6.730 MB
