Run,Time(ms),Memory(Bytes)
1,0.061,6918144
2,0.061,7000064
3,0.060,7008256
4,0.060,7045120
5,0.061,7049216
6,0.062,6729728
7,0.066,6901760
8,0.060,6995968
9,0.071,6586368
10,0.061,6516736
11,0.062,6467584
12,0.061,6373376
13,0.062,6578176
14,0.061,6402048
15,0.074,7012352
16,0.069,6926336
17,0.061,6660096
18,0.060,6586368
19,0.062,6471680
20,0.062,6414336
21,0.061,6299648
22,0.069,6590464
23,0.061,6729728
24,0.061,6627328
25,0.061,6762496
26,0.061,6680576
27,0.126,6643712
28,0.061,6316032
29,0.065,6729728
30,0.063,6631424
31,0.061,6668288
32,0.061,6848512
33,0.060,6897664
34,0.060,6942720
35,0.061,6729728
36,0.063,6647808
37,0.061,6578176
38,0.062,6938624
39,0.062,6684672
40,0.064,6488064
41,0.064,6664192
42,0.060,6729728
43,0.061,6737920
44,0.062,6729728
45,0.063,6631424
46,0.063,6586368
47,0.060,6914048
48,0.061,6377472
49,0.061,6758400
50,0.063,7049216
51,0.221,7032832
52,0.061,6643712
53,0.062,6455296
54,0.060,6782976
55,0.061,6610944
56,0.063,6930432
57,0.061,6758400
58,0.061,6414336
59,0.061,6942720
60,0.060,6881280
61,0.061,6742016
62,0.068,6729728
63,0.061,6590464
64,0.060,7053312
65,0.061,6627328
66,0.061,6402048
67,0.061,6995968
68,0.071,6742016
69,0.061,6643712
70,0.170,6778880
71,0.061,6316032
72,0.106,6582272
73,0.061,6615040
74,0.061,6402048
75,0.062,6991872
76,0.061,6660096
77,0.082,6995968
78,0.063,6344704
79,0.061,6459392
80,0.061,7004160
81,0.061,6578176
82,0.060,6467584
83,0.062,6373376
84,0.060,6672384
85,0.061,6647808
86,0.063,6647808
87,0.061,6758400
88,0.061,6680576
89,0.061,6402048
90,0.061,6680576
91,0.146,6627328
92,0.062,6725632
93,0.069,6774784
94,0.060,6905856
95,0.061,6672384
96,0.061,6627328
97,0.070,7053312
98,0.060,6631424
99,0.061,6635520
100,0.061,6492160

Statistics:
Average Time,0.067 ms
Max Time,0.221 ms
Average Memory,6.384 MB
Max Memory,6.727 MB
