Run,Time(ms),Memory(Bytes)
1,273.986,6934528
2,272.609,7057408
3,275.229,7028736
4,272.714,6901760
5,274.926,6918144
6,275.073,6942720
7,274.673,6848512
8,276.677,6901760
9,276.216,6930432
10,273.754,7000064
11,273.704,6819840
12,275.607,6926336
13,399.483,7004160
14,275.257,6848512
15,274.235,6930432
16,273.862,6922240
17,400.788,6938624
18,273.139,7053312
19,273.869,7000064
20,401.133,6950912
21,274.570,6955008
22,274.178,7049216
23,276.160,7000064
24,399.024,6914048
25,274.463,6914048
26,273.660,6955008
27,273.717,6893568
28,401.117,6955008
29,274.890,6905856
30,275.187,7000064
31,400.694,6901760
32,274.533,7008256
33,274.192,6930432
34,398.981,6860800
35,274.985,6926336
36,273.836,7000064
37,399.434,6868992
38,448.339,6930432
39,274.445,7057408
40,272.118,6848512
41,402.269,7053312
42,273.249,7045120
43,274.776,6955008
44,274.812,6926336
45,273.414,6914048
46,275.034,6914048
47,273.055,7053312
48,272.904,6918144
49,274.468,6914048
50,275.359,6914048
51,275.771,6934528
52,398.772,6852608
53,273.338,7045120
54,274.032,6955008
55,399.322,6938624
56,272.255,6852608
57,275.267,7008256
58,275.142,6938624
59,274.716,6897664
60,273.509,6926336
61,272.861,7000064
62,274.105,6856704
63,273.810,7000064
64,274.613,7000064
65,397.938,7000064
66,274.036,7000064
67,274.740,7045120
68,277.176,7045120
69,400.343,6926336
70,274.349,6930432
71,273.588,6926336
72,273.830,6918144
73,273.217,7032832
74,274.869,7032832
75,273.679,6901760
76,274.511,6995968
77,400.388,7000064
78,273.255,7057408
79,272.509,7000064
80,400.190,7028736
81,274.066,7028736
82,273.331,7004160
83,401.340,7049216
84,273.674,7053312
85,275.891,6897664
86,274.826,6995968
87,275.156,6901760
88,272.600,7057408
89,307.540,6897664
90,274.421,6938624
91,275.420,6914048
92,273.771,6995968
93,273.801,6840320
94,274.451,6914048
95,274.951,6959104
96,272.885,7008256
97,274.633,6914048
98,401.163,6918144
99,274.586,6942720
100,274.643,6918144

Statistics:
Average Time,297.741 ms
Max Time,448.339 ms
Average Memory,6.633 MB
Max Memory,6.730 MB
