Run,Time(ms),Memory(Bytes)
1,3.394,10080256
2,3.268,10670080
3,3.354,10350592
4,3.802,10436608
5,3.392,10661888
6,3.262,10801152
7,3.388,10625024
8,3.284,10362880
9,3.382,10694656
10,4.233,10350592
11,3.368,10153984
12,3.277,11317248
13,3.746,11083776
14,3.578,10362880
15,3.437,10530816
16,3.382,10702848
17,3.263,10809344
18,3.338,10813440
19,3.245,10727424
20,3.303,10510336
21,3.209,10895360
22,3.184,10891264
23,3.283,10780672
24,3.312,11055104
25,3.707,11264000
26,3.533,10723328
27,3.586,10891264
28,3.254,10514432
29,3.342,10756096
30,3.413,10891264
31,3.204,10960896
32,3.332,10608640
33,3.336,10543104
34,3.183,11051008
35,3.347,10665984
36,3.229,10760192
37,3.244,10608640
38,3.292,10633216
39,3.275,10727424
40,3.247,10633216
41,3.286,10694656
42,3.208,11075584
43,3.220,10883072
44,3.265,10944512
45,3.280,10940416
46,3.775,10924032
47,3.305,10428416
48,3.553,10350592
49,3.332,10141696
50,3.235,10706944
51,3.345,10186752
52,3.242,10694656
53,3.295,10620928
54,3.242,10776576
55,3.338,10670080
56,3.392,10129408
57,3.505,10981376
58,3.265,10690560
59,3.409,10801152
60,4.078,11223040
61,3.331,10694656
62,3.337,10940416
63,3.298,10240000
64,3.338,10780672
65,3.249,10485760
66,3.555,10489856
67,3.508,10170368
68,3.564,11231232
69,3.317,10260480
70,3.850,10530816
71,3.585,10510336
72,3.588,10342400
73,3.384,10338304
74,3.251,10575872
75,3.398,11317248
76,3.340,10084352
77,3.480,11333632
78,3.318,10452992
79,3.624,10883072
80,3.474,10096640
81,3.325,10526720
82,3.345,10235904
83,3.469,10702848
84,3.310,10674176
85,3.256,10784768
86,3.243,10784768
87,3.244,10604544
88,3.233,10780672
89,3.233,10809344
90,3.270,10780672
91,3.249,10665984
92,3.357,10342400
93,3.341,10436608
94,3.374,10674176
95,3.682,10137600
96,3.281,11317248
97,3.299,10694656
98,3.375,10424320
99,3.372,10166272
100,3.304,10805248

Statistics:
Average Time,3.381 ms
Max Time,4.233 ms
Average Memory,10.165 MB
Max Memory,10.809 MB
