Run,Time(ms),Memory(Bytes)
1,232.294,11194368
2,229.451,11161600
3,238.115,11325440
4,231.306,11161600
5,236.589,11321344
6,236.433,11235328
7,225.475,11354112
8,229.265,11202560
9,230.459,11333632
10,225.989,11190272
11,238.188,11304960
12,226.164,11268096
13,231.066,11251712
14,237.047,11341824
15,231.436,11206656
16,229.974,11341824
17,232.042,11214848
18,230.800,11235328
19,229.424,11333632
20,236.883,11169792
21,232.434,11251712
22,228.863,11206656
23,231.397,11337728
24,235.494,11313152
25,230.494,11153408
26,236.077,11235328
27,233.760,11210752
28,229.682,11173888
29,235.992,11243520
30,236.957,11247616
31,235.110,11214848
32,241.978,11153408
33,235.273,11325440
34,235.214,11161600
35,238.992,11321344
36,234.589,11149312
37,245.831,11161600
38,234.611,11214848
39,242.934,11239424
40,236.541,11333632
41,232.520,11333632
42,236.471,11300864
43,244.337,11247616
44,233.820,11194368
45,232.567,11300864
46,239.001,11300864
47,231.775,11333632
48,231.345,11239424
49,251.574,11231232
50,240.731,11239424
51,241.132,11165696
52,239.899,11149312
53,241.768,11264000
54,245.925,11755520
55,246.436,11321344
56,240.148,11268096
57,235.286,11325440
58,228.249,11190272
59,231.741,11210752
60,231.370,11177984
61,234.318,11235328
62,238.818,11235328
63,241.035,11313152
64,242.049,11218944
65,233.406,11173888
66,233.080,11317248
67,231.832,11296768
68,235.863,11149312
69,235.687,11243520
70,228.876,11218944
71,228.749,11243520
72,227.035,11341824
73,227.051,11182080
74,225.695,11259904
75,229.067,11214848
76,226.202,11325440
77,226.283,11317248
78,227.351,11350016
79,229.620,11177984
80,227.651,11255808
81,227.906,11251712
82,228.012,11264000
83,231.583,11325440
84,232.929,11218944
85,231.081,11177984
86,233.763,11145216
87,234.766,11243520
88,242.195,11161600
89,232.446,11300864
90,235.006,11341824
91,232.372,11300864
92,228.078,11345920
93,230.390,11321344
94,228.445,11247616
95,229.991,11350016
96,229.331,11264000
97,229.983,11214848
98,227.916,11206656
99,229.564,11333632
100,227.472,11264000

Statistics:
Average Time,233.596 ms
Max Time,251.574 ms
Average Memory,10.736 MB
Max Memory,11.211 MB
