Run,Time(ms),Memory(Bytes)
1,579.112,11157504
2,580.105,11149312
3,578.745,11259904
4,581.069,11161600
5,700.243,11247616
6,706.282,11259904
7,701.776,11268096
8,706.489,11145216
9,708.971,11177984
10,707.327,11145216
11,710.873,11243520
12,587.873,11251712
13,710.348,11276288
14,709.086,11247616
15,707.782,11264000
16,701.919,11247616
17,575.528,11300864
18,578.094,11108352
19,578.936,11345920
20,705.272,11272192
21,702.854,11165696
22,710.364,11153408
23,709.122,11268096
24,709.425,11231232
25,707.753,11161600
26,581.605,11243520
27,574.684,11247616
28,591.692,11264000
29,703.695,11341824
30,713.180,11296768
31,581.266,11194368
32,582.875,11259904
33,1234.390,11296768
34,1223.580,11300864
35,970.609,11350016
36,1002.220,11264000
37,1138.160,11145216
38,980.575,11153408
39,713.385,11145216
40,712.588,11177984
41,715.268,11149312
42,589.191,11149312
43,586.379,11255808
44,708.828,11227136
45,706.908,11243520
46,712.004,11173888
47,717.347,11173888
48,586.434,11137024
49,720.290,11247616
50,716.471,11358208
51,718.491,11247616
52,728.223,11149312
53,592.519,11149312
54,718.239,11165696
55,721.570,11153408
56,717.061,11177984
57,588.211,11161600
58,594.612,11157504
59,714.067,11259904
60,716.897,11145216
61,722.838,11173888
62,594.737,11145216
63,591.438,11173888
64,721.080,11300864
65,720.074,11341824
66,722.576,11247616
67,592.073,11145216
68,717.320,11153408
69,715.563,11689984
70,719.795,11231232
71,715.203,11149312
72,718.105,11149312
73,720.391,11177984
74,720.569,11268096
75,591.697,11243520
76,716.362,11165696
77,716.032,11173888
78,712.296,11149312
79,715.046,11153408
80,589.541,11247616
81,714.548,11247616
82,709.118,11259904
83,710.108,11173888
84,709.574,11354112
85,707.481,11177984
86,583.821,11259904
87,578.502,11141120
88,579.525,11296768
89,709.792,11345920
90,713.447,11300864
91,580.198,11128832
92,584.014,11247616
93,712.619,11264000
94,712.295,11300864
95,713.747,11255808
96,713.719,11194368
97,585.039,11345920
98,714.350,11276288
99,710.784,11268096
100,712.188,11239424

Statistics:
Average Time,697.165 ms
Max Time,1234.390 ms
Average Memory,10.706 MB
Max Memory,11.148 MB
