Run,Time(ms),Memory(Bytes)
1,3.530,10964992
2,3.209,11177984
3,3.190,11255808
4,3.241,11165696
5,3.229,11345920
6,3.209,11153408
7,3.137,11354112
8,3.200,11227136
9,3.168,11300864
10,3.135,11177984
11,3.169,11247616
12,3.211,11255808
13,3.160,11173888
14,3.224,11296768
15,123.529,10723328
16,3.195,11149312
17,3.188,11276288
18,3.219,11116544
19,3.269,11030528
20,3.269,11177984
21,3.545,10903552
22,3.277,11165696
23,3.144,11354112
24,3.186,11276288
25,3.212,11247616
26,3.112,9908224
27,3.160,11345920
28,3.185,11231232
29,3.199,10067968
30,3.186,11350016
31,3.258,11300864
32,3.170,11247616
33,3.208,11259904
34,3.203,11247616
35,3.172,11165696
36,3.144,11296768
37,3.197,11247616
38,3.187,11231232
39,3.193,11247616
40,3.154,11247616
41,3.149,11165696
42,124.753,11161600
43,3.293,10985472
44,3.518,10960896
45,3.202,11264000
46,3.230,11153408
47,3.271,11157504
48,3.149,11243520
49,3.219,11296768
50,3.244,11231232
51,3.251,11276288
52,3.215,11157504
53,3.161,11300864
54,3.191,11354112
55,3.243,11304960
56,3.193,10633216
57,3.107,11251712
58,3.165,11173888
59,3.213,11243520
60,3.279,11345920
61,3.203,9949184
62,3.363,10883072
63,3.294,11255808
64,3.250,11259904
65,3.142,11173888
66,3.196,11177984
67,3.224,11153408
68,3.173,11177984
69,124.489,11247616
70,3.230,11247616
71,3.159,11177984
72,3.355,11243520
73,3.209,11259904
74,3.164,11296768
75,3.158,11247616
76,3.241,11296768
77,3.219,11296768
78,3.181,11350016
79,3.197,11161600
80,3.308,11350016
81,3.287,11247616
82,3.218,11157504
83,3.149,11272192
84,3.197,11173888
85,3.252,11276288
86,3.194,11231232
87,3.242,11345920
88,3.204,11243520
89,3.249,11350016
90,3.141,11251712
91,3.233,11247616
92,3.184,11173888
93,3.118,11153408
94,3.232,11259904
95,3.179,11341824
96,124.697,11141120
97,3.218,11190272
98,3.248,11005952
99,3.206,11264000
100,3.178,11165696

Statistics:
Average Time,8.062 ms
Max Time,124.753 ms
Average Memory,10.655 MB
Max Memory,10.828 MB
