Run,Time(ms),Memory(Bytes)
1,3.218,10964992
2,3.203,11051008
3,3.197,11206656
4,3.190,10977280
5,3.221,10997760
6,3.213,10878976
7,3.227,11026432
8,3.162,11051008
9,3.162,11218944
10,3.127,10907648
11,3.198,11321344
12,3.181,11231232
13,3.229,10780672
14,3.229,11063296
15,3.221,10948608
16,3.226,11051008
17,3.190,11026432
18,3.269,10944512
19,3.186,11051008
20,3.220,10948608
21,3.178,10940416
22,3.206,10981376
23,3.210,11149312
24,3.208,10973184
25,3.191,11079680
26,3.316,10960896
27,3.246,10883072
28,3.174,11034624
29,3.209,11051008
30,3.225,10891264
31,3.172,10973184
32,3.168,11214848
33,3.160,11235328
34,3.147,11051008
35,3.155,11333632
36,3.219,11055104
37,3.179,11264000
38,3.205,10993664
39,125.769,11173888
40,3.175,11075584
41,3.204,11063296
42,3.152,11063296
43,3.174,11350016
44,3.155,11300864
45,3.225,10977280
46,3.385,11075584
47,3.211,11071488
48,3.194,10993664
49,3.295,10981376
50,3.183,10903552
51,3.195,11051008
52,3.239,10960896
53,3.230,10612736
54,3.191,10940416
55,3.185,11083776
56,3.175,11214848
57,3.189,10895360
58,3.158,11190272
59,3.197,10903552
60,3.156,11300864
61,3.193,10969088
62,3.215,10936320
63,3.249,11030528
64,3.271,11026432
65,3.300,10424320
66,3.178,10706944
67,3.256,10969088
68,3.208,11055104
69,3.189,10874880
70,3.204,10964992
71,3.360,10891264
72,3.193,10977280
73,3.294,10969088
74,3.211,10969088
75,3.238,10936320
76,3.220,10973184
77,3.188,11026432
78,3.238,10915840
79,3.198,10760192
80,3.160,11075584
81,3.271,11026432
82,3.179,10993664
83,3.183,11206656
84,3.132,10936320
85,3.224,10903552
86,3.234,10936320
87,3.174,11251712
88,3.231,11083776
89,3.215,10977280
90,3.143,11235328
91,3.201,11067392
92,3.161,10948608
93,3.203,10977280
94,3.158,11153408
95,3.215,11083776
96,3.313,11030528
97,3.248,11079680
98,3.226,10883072
99,3.123,11177984
100,3.382,9732096

Statistics:
Average Time,4.434 ms
Max Time,125.769 ms
Average Memory,10.500 MB
Max Memory,10.824 MB
