Run,Time(ms),Memory(Bytes)
1,3.090,11251712
2,3.126,11149312
3,3.134,11214848
4,3.131,11264000
5,3.125,11190272
6,3.141,11235328
7,3.029,11337728
8,3.171,11251712
9,3.144,11325440
10,3.192,11214848
11,3.133,11247616
12,3.092,11341824
13,124.728,10752000
14,3.241,10702848
15,3.214,10903552
16,3.332,10756096
17,3.264,10784768
18,3.244,11075584
19,3.174,11325440
20,3.364,10727424
21,3.179,11055104
22,3.158,10891264
23,3.192,11210752
24,3.208,10690560
25,3.155,9863168
26,3.115,11026432
27,3.484,10559488
28,3.441,10895360
29,3.230,11051008
30,3.157,10993664
31,3.223,11051008
32,3.180,10883072
33,3.136,11165696
34,3.183,11030528
35,3.184,10969088
36,3.194,10940416
37,3.183,10891264
38,3.214,11071488
39,3.246,11071488
40,3.257,11079680
41,3.202,10780672
42,3.181,11055104
43,3.131,11026432
44,3.230,10944512
45,3.569,10625024
46,3.228,10948608
47,3.192,11354112
48,3.177,11026432
49,3.208,10948608
50,3.229,11055104
51,3.221,11063296
52,3.211,10964992
53,3.176,10805248
54,3.235,10977280
55,3.237,10510336
56,3.203,10973184
57,3.165,10944512
58,3.111,11321344
59,3.159,11046912
60,3.194,11067392
61,3.145,10891264
62,3.189,10891264
63,3.202,11075584
64,3.181,11026432
65,3.157,10969088
66,3.269,10424320
67,3.247,10977280
68,3.289,10690560
69,3.251,10878976
70,3.367,10694656
71,3.324,10637312
72,3.250,10936320
73,3.209,10973184
74,3.188,11026432
75,3.272,10727424
76,3.331,10424320
77,3.202,11083776
78,3.237,10977280
79,3.288,11304960
80,3.265,10678272
81,3.255,10907648
82,3.144,10969088
83,3.263,11030528
84,3.172,10891264
85,3.194,10674176
86,3.212,10964992
87,3.162,11055104
88,3.188,11051008
89,3.176,10981376
90,3.154,10850304
91,3.180,11321344
92,3.193,11235328
93,3.199,10702848
94,3.224,11350016
95,3.229,11075584
96,3.185,10883072
97,3.407,11063296
98,3.208,10665984
99,3.273,10670080
100,3.382,10260480

Statistics:
Average Time,4.429 ms
Max Time,124.728 ms
Average Memory,10.450 MB
Max Memory,10.828 MB
