Run,Time(ms),Memory(Bytes)
1,0.177,6733824
2,0.146,7057408
3,0.163,6938624
4,0.143,6852608
5,0.156,6737920
6,0.141,6991872
7,0.151,6742016
8,0.140,7000064
9,0.167,6909952
10,0.153,6762496
11,0.143,6864896
12,0.152,6791168
13,0.178,6651904
14,0.159,6766592
15,0.153,6631424
16,0.138,6635520
17,0.140,6615040
18,3.299,11223040
19,0.136,6582272
20,0.156,7000064
21,0.161,6905856
22,0.136,6901760
23,0.147,6905856
24,0.170,7012352
25,0.149,6905856
26,0.206,6897664
27,0.151,6647808
28,0.153,6934528
29,0.172,6676480
30,0.143,6676480
31,0.152,6737920
32,3.545,10821632
33,0.132,6918144
34,0.166,6901760
35,0.162,6688768
36,0.158,6635520
37,0.147,6782976
38,0.167,6922240
39,0.160,6856704
40,0.146,6688768
41,0.164,6963200
42,0.149,7000064
43,0.165,7000064
44,0.146,6864896
45,0.148,6647808
46,0.152,7012352
47,0.143,6574080
48,0.161,6463488
49,0.137,6631424
50,0.142,6647808
51,0.161,6578176
52,0.158,6791168
53,0.153,6918144
54,0.145,6942720
55,0.160,6918144
56,0.148,6676480
57,0.151,6737920
58,0.161,6930432
59,0.158,6942720
60,0.173,6918144
61,0.184,7057408
62,0.154,6905856
63,3.234,11194368
64,0.168,6746112
65,0.135,7000064
66,0.151,6381568
67,0.146,6791168
68,0.132,6922240
69,0.142,6995968
70,0.161,7000064
71,3.309,11071488
72,0.173,6672384
73,0.161,6766592
74,0.155,6746112
75,3.277,10842112
76,0.148,6766592
77,0.161,6639616
78,0.156,6905856
79,0.135,6762496
80,0.171,6762496
81,0.148,6619136
82,0.167,6660096
83,0.182,6582272
84,113.779,10665984
85,0.144,6979584
86,0.135,6733824
87,3.292,11149312
88,0.150,7036928
89,0.148,6930432
90,0.162,6930432
91,0.168,6647808
92,0.144,6647808
93,0.165,6766592
94,0.157,6729728
95,0.150,7012352
96,0.139,6946816
97,0.161,6733824
98,0.132,6635520
99,0.155,6594560
100,0.141,6557696

Statistics:
Average Time,1.481 ms
Max Time,113.779 ms
Average Memory,6.767 MB
Max Memory,10.703 MB
