Run,Time(ms),Memory(Bytes)
1,259.148,11579392
2,262.561,11726848
3,264.065,11624448
4,259.104,11628544
5,264.366,11759616
6,390.150,7573504
7,263.523,11616256
8,249.538,7696384
9,255.389,7462912
10,271.074,11653120
11,394.376,11718656
12,257.245,7593984
13,267.658,11653120
14,264.299,11722752
15,266.173,11649024
16,266.102,11649024
17,258.698,11735040
18,262.182,11628544
19,272.059,11636736
20,266.125,11653120
21,266.138,11636736
22,381.321,11616256
23,257.315,11612160
24,260.447,11689984
25,267.887,11759616
26,266.168,11612160
27,249.658,7553024
28,265.283,11640832
29,257.509,11694080
30,258.060,7708672
31,394.745,11689984
32,249.977,7634944
33,275.661,11649024
34,260.018,11612160
35,267.115,11747328
36,265.860,11608064
37,264.849,11689984
38,259.670,7684096
39,403.932,11636736
40,253.491,7561216
41,259.835,11624448
42,256.421,7667712
43,264.901,7704576
44,262.740,11689984
45,253.367,7708672
46,273.079,11579392
47,261.545,11735040
48,267.761,11759616
49,254.173,7573504
50,263.878,11575296
51,247.540,7561216
52,266.520,11624448
53,267.016,11689984
54,262.208,7696384
55,257.983,7569408
56,385.882,7589888
57,261.506,11653120
58,255.365,7557120
59,256.081,7700480
60,267.395,11735040
61,393.209,11653120
62,261.641,11624448
63,273.093,11591680
64,264.128,11612160
65,257.182,11759616
66,264.364,11575296
67,385.877,11735040
68,262.961,11636736
69,256.447,7634944
70,255.072,7573504
71,269.264,11689984
72,405.793,11743232
73,283.321,11747328
74,268.785,11747328
75,257.503,7589888
76,256.614,7589888
77,249.630,7667712
78,266.713,11694080
79,260.529,11759616
80,384.105,7684096
81,263.446,7598080
82,258.907,11755520
83,386.993,11722752
84,266.663,11624448
85,252.773,7671808
86,253.540,11649024
87,263.585,11595776
88,266.861,11722752
89,268.936,11718656
90,257.254,7524352
91,390.858,11751424
92,261.239,11599872
93,264.380,11718656
94,257.996,7524352
95,263.778,11624448
96,382.685,7557120
97,289.548,11616256
98,251.944,7573504
99,266.882,11640832
100,255.436,7684096

Statistics:
Average Time,278.841 ms
Max Time,405.793 ms
Average Memory,9.891 MB
Max Memory,11.215 MB
