Run,Time(ms),Memory(Bytes)
1,21.331,11304960
2,16.060,11395072
3,16.668,11366400
4,16.108,11345920
5,138.516,7569408
6,15.805,11378688
7,12.416,7639040
8,16.726,11304960
9,15.810,11350016
10,140.273,11468800
11,15.800,11419648
12,12.332,7565312
13,20.893,11358208
14,13.041,7696384
15,141.891,11378688
16,16.390,11481088
17,12.502,7585792
18,16.347,11325440
19,12.295,7680000
20,138.883,7495680
21,15.847,11337728
22,15.958,11378688
23,16.483,11485184
24,16.681,11468800
25,135.977,7589888
26,17.151,11378688
27,16.671,11448320
28,12.351,7680000
29,15.657,11292672
30,16.468,11341824
31,12.481,7696384
32,12.418,7581696
33,12.690,7565312
34,12.194,7700480
35,143.142,11374592
36,12.709,7553024
37,15.832,11894784
38,16.032,11374592
39,17.215,11419648
40,140.202,11350016
41,17.015,11452416
42,12.268,7663616
43,16.102,12034048
44,17.059,11472896
45,136.523,7671808
46,17.476,11481088
47,16.100,11460608
48,13.085,7680000
49,11.971,7499776
50,140.985,11337728
51,16.846,11468800
52,12.359,7667712
53,15.508,11452416
54,13.187,7524352
55,16.331,11374592
56,15.979,11366400
57,16.204,11366400
58,16.401,11341824
59,16.085,11350016
60,15.648,11337728
61,16.098,11452416
62,12.123,7589888
63,136.405,7667712
64,12.175,7569408
65,15.653,11354112
66,12.667,7684096
67,15.884,11472896
68,15.697,11341824
69,16.359,11452416
70,12.639,7507968
71,15.713,11341824
72,15.996,11468800
73,16.075,11452416
74,16.745,11452416
75,12.138,7553024
76,137.782,7680000
77,16.059,11304960
78,12.050,7704576
79,12.083,7581696
80,11.799,7634944
81,15.583,11452416
82,16.486,11378688
83,16.660,11399168
84,12.987,7708672
85,16.744,11874304
86,13.048,7565312
87,16.388,11382784
88,15.639,11304960
89,12.653,7553024
90,16.048,11370496
91,15.778,11378688
92,13.001,7639040
93,15.707,11419648
94,136.098,7688192
95,16.911,11481088
96,15.636,11370496
97,12.340,6864896
98,15.904,11452416
99,11.941,7569408
100,13.519,8065024

Statistics:
Average Time,29.886 ms
Max Time,143.142 ms
Average Memory,9.510 MB
Max Memory,11.477 MB
