Run,Time(ms),Memory(Bytes)
1,452.513,11612160
2,452.179,11628544
3,327.862,11653120
4,326.022,11751424
5,335.881,11612160
6,457.146,11698176
7,458.973,11722752
8,457.206,11759616
9,452.413,11616256
10,460.279,11575296
11,333.310,11649024
12,333.762,11624448
13,328.645,11726848
14,460.708,11739136
15,455.039,11616256
16,460.442,11689984
17,453.502,11739136
18,459.826,11735040
19,326.297,11612160
20,329.964,11640832
21,326.573,11608064
22,454.209,11722752
23,458.153,11624448
24,456.860,11735040
25,455.418,11702272
26,450.019,11612160
27,333.194,11735040
28,328.628,11640832
29,454.271,11747328
30,461.995,11575296
31,461.419,11751424
32,458.743,11714560
33,461.221,11689984
34,338.691,11653120
35,459.874,11735040
36,454.125,11653120
37,457.902,11739136
38,453.615,11612160
39,460.237,11669504
40,452.544,11653120
41,339.552,11718656
42,329.101,11751424
43,337.197,11608064
44,454.379,11763712
45,450.971,11972608
46,456.125,11694080
47,451.790,11743232
48,325.843,11620352
49,327.625,11722752
50,328.014,11751424
51,324.656,11628544
52,455.579,11624448
53,454.804,11649024
54,454.823,11689984
55,451.486,11689984
56,452.038,11612160
57,451.970,11616256
58,453.093,11644928
59,452.704,11579392
60,456.668,11575296
61,453.652,11636736
62,458.335,11694080
63,452.429,11739136
64,455.647,11759616
65,336.725,11616256
66,332.564,11763712
67,331.223,11735040
68,453.401,11579392
69,457.210,11579392
70,453.911,11616256
71,455.736,11640832
72,459.773,11665408
73,330.324,11612160
74,324.569,11755520
75,327.338,11575296
76,456.278,11608064
77,453.885,11575296
78,462.251,11620352
79,459.004,11608064
80,456.333,11632640
81,333.320,11616256
82,458.501,11616256
83,454.098,11612160
84,451.963,11653120
85,454.479,11739136
86,460.448,11628544
87,336.175,11718656
88,326.385,11608064
89,453.534,11612160
90,455.272,11698176
91,457.671,11612160
92,457.414,11763712
93,453.684,11624448
94,452.746,11628544
95,334.409,11628544
96,331.261,11575296
97,326.503,11649024
98,453.497,11620352
99,456.525,11689984
100,462.408,11743232

Statistics:
Average Time,417.090 ms
Max Time,462.408 ms
Average Memory,11.126 MB
Max Memory,11.418 MB
