Run,Time(ms),Memory(Bytes)
1,0.227,6733824
2,0.190,7053312
3,0.188,6909952
4,3.258,11218944
5,0.185,6864896
6,3.480,10764288
7,0.199,6901760
8,3.556,10571776
9,0.194,6897664
10,0.191,6897664
11,0.205,6586368
12,0.211,7049216
13,0.174,6737920
14,0.197,6918144
15,0.189,6930432
16,0.187,6463488
17,0.188,6733824
18,0.194,6901760
19,0.180,6959104
20,0.195,6905856
21,0.182,6922240
22,0.178,7036928
23,0.189,7049216
24,0.194,6647808
25,0.183,6676480
26,0.183,6676480
27,0.206,6955008
28,0.183,7004160
29,0.177,6639616
30,0.200,6660096
31,0.196,6733824
32,114.734,11071488
33,0.198,6656000
34,0.193,6905856
35,0.178,7012352
36,0.194,6672384
37,0.188,6860800
38,0.201,6905856
39,0.192,6782976
40,0.187,6918144
41,0.200,7032832
42,3.348,10805248
43,0.195,6672384
44,0.222,6897664
45,0.182,6856704
46,0.186,6852608
47,0.189,6369280
48,0.186,6647808
49,0.188,7057408
50,0.193,7004160
51,0.185,6664192
52,0.188,6582272
53,0.182,6856704
54,0.193,6852608
55,0.193,7032832
56,0.210,7053312
57,0.184,6885376
58,0.190,6918144
59,3.318,11108352
60,0.192,6922240
61,0.190,7008256
62,0.202,6664192
63,0.195,7061504
64,0.185,6856704
65,0.189,6651904
66,0.188,6582272
67,0.182,6922240
68,0.199,6905856
69,0.187,6635520
70,0.192,6635520
71,0.196,6647808
72,0.208,6922240
73,0.188,7000064
74,0.195,7049216
75,0.216,6946816
76,0.181,6647808
77,0.183,7004160
78,0.190,6946816
79,0.210,7057408
80,0.185,6946816
81,0.201,6766592
82,0.193,6901760
83,0.175,6946816
84,0.176,6905856
85,0.180,6942720
86,0.180,7004160
87,0.193,6905856
88,3.306,10911744
89,0.188,6946816
90,0.189,6762496
91,0.196,6901760
92,0.219,7004160
93,0.177,6631424
94,0.182,6856704
95,0.193,6955008
96,0.200,6733824
97,0.187,6746112
98,0.182,7057408
99,0.178,7036928
100,0.186,6590464

Statistics:
Average Time,1.528 ms
Max Time,114.734 ms
Average Memory,6.804 MB
Max Memory,10.699 MB
