Run,Time(ms),Memory(Bytes)
1,483.611,11739136
2,477.855,11735040
3,484.520,11599872
4,482.705,11735040
5,354.597,11747328
6,478.937,11739136
7,480.331,11751424
8,478.333,11743232
9,478.856,11612160
10,477.527,11722752
11,479.561,11689984
12,486.295,11739136
13,484.339,11608064
14,352.421,11743232
15,483.397,11612160
16,479.989,11579392
17,482.831,11735040
18,478.264,11747328
19,476.759,11718656
20,479.999,11739136
21,484.619,11522048
22,357.097,11608064
23,476.530,11575296
24,479.804,11747328
25,479.338,11735040
26,476.876,11616256
27,352.043,11747328
28,479.362,11759616
29,477.330,11722752
30,353.990,11591680
31,477.650,11649024
32,477.872,11735040
33,479.354,11612160
34,481.528,11644928
35,358.096,11722752
36,480.619,11755520
37,486.265,11714560
38,479.981,11644928
39,479.981,11763712
40,476.176,11689984
41,480.167,11694080
42,479.734,11689984
43,481.589,11640832
44,354.157,11694080
45,478.866,11653120
46,478.568,11612160
47,354.090,11722752
48,479.556,11644928
49,481.004,11665408
50,483.539,11624448
51,485.069,11763712
52,351.145,11636736
53,478.840,11603968
54,479.222,11763712
55,351.528,11575296
56,484.813,11747328
57,485.691,11722752
58,480.951,11628544
59,478.426,11694080
60,481.153,11755520
61,482.145,11628544
62,477.829,11747328
63,480.537,11755520
64,478.667,11608064
65,482.212,11612160
66,481.154,11743232
67,479.779,11763712
68,485.964,11575296
69,477.054,11722752
70,477.988,11616256
71,479.523,11620352
72,477.939,11722752
73,479.302,11649024
74,354.726,11608064
75,483.477,11743232
76,478.008,11669504
77,354.157,11755520
78,480.659,11669504
79,478.899,11608064
80,353.371,11689984
81,480.651,11616256
82,482.990,11689984
83,353.391,11743232
84,479.699,11747328
85,484.122,11640832
86,478.920,11612160
87,477.059,11649024
88,481.545,11689984
89,479.007,11616256
90,478.621,11624448
91,481.245,11763712
92,480.918,11644928
93,353.736,11722752
94,477.495,11612160
95,484.611,11726848
96,476.072,11636736
97,476.086,11689984
98,352.025,11747328
99,480.066,11722752
100,485.758,11722752

Statistics:
Average Time,460.112 ms
Max Time,486.295 ms
Average Memory,11.141 MB
Max Memory,11.219 MB
