Run,Time(ms),Memory(Bytes)
1,0.126,6930432
2,0.150,6942720
3,0.138,6946816
4,0.111,7053312
5,0.120,7049216
6,0.099,6946816
7,0.135,6979584
8,3.273,11202560
9,0.139,6762496
10,0.137,7036928
11,0.127,7061504
12,3.251,11108352
13,0.141,7061504
14,0.162,7012352
15,0.128,7008256
16,0.137,6742016
17,3.300,10788864
18,0.157,6909952
19,0.152,6586368
20,0.125,6664192
21,0.156,6746112
22,0.123,6451200
23,0.150,6852608
24,0.132,6402048
25,0.102,6955008
26,0.132,7004160
27,3.229,11075584
28,0.140,7012352
29,0.113,6852608
30,0.142,6901760
31,0.123,6909952
32,0.152,6590464
33,0.131,6787072
34,0.126,6688768
35,0.149,6942720
36,0.104,6836224
37,0.141,6930432
38,0.125,6930432
39,3.305,10928128
40,0.143,7000064
41,3.236,10936320
42,0.196,7053312
43,0.140,6922240
44,0.145,6742016
45,0.115,6586368
46,0.132,6733824
47,0.191,6955008
48,0.120,6934528
49,0.145,6930432
50,0.140,7016448
51,0.133,6922240
52,0.138,6955008
53,0.122,7000064
54,0.135,6901760
55,0.127,7049216
56,0.136,6995968
57,0.144,6901760
58,0.123,7000064
59,0.143,6676480
60,0.137,6868992
61,0.182,6901760
62,0.117,6746112
63,0.124,6918144
64,0.120,6864896
65,0.111,6860800
66,0.148,7004160
67,0.108,6856704
68,0.115,6889472
69,0.119,6959104
70,0.122,6909952
71,0.128,7057408
72,0.140,6942720
73,0.150,6955008
74,0.130,6946816
75,0.132,6909952
76,0.150,6918144
77,123.273,8093696
78,3.216,10854400
79,0.152,7061504
80,0.130,6463488
81,0.215,6647808
82,0.139,7008256
83,0.162,7000064
84,0.126,7012352
85,0.146,6918144
86,3.222,11218944
87,0.120,6918144
88,0.104,6860800
89,0.126,6905856
90,0.123,6909952
91,0.124,7053312
92,0.161,7016448
93,0.162,6746112
94,0.149,6942720
95,0.157,6664192
96,0.137,6672384
97,0.124,6684672
98,0.118,6946816
99,0.144,6647808
100,0.136,7012352

Statistics:
Average Time,1.617 ms
Max Time,123.273 ms
Average Memory,6.891 MB
Max Memory,10.699 MB
