Run,Time(ms),Memory(Bytes)
1,14.647,7307264
2,14.937,7491584
3,14.868,7680000
4,14.921,7503872
5,14.720,7495680
6,14.764,7671808
7,14.549,7663616
8,14.667,7405568
9,139.220,7680000
10,15.221,7663616
11,138.462,7663616
12,15.039,7467008
13,140.043,7696384
14,14.675,7299072
15,138.338,7692288
16,14.632,7528448
17,138.422,7585792
18,14.761,7659520
19,139.562,7786496
20,15.192,7786496
21,14.806,7671808
22,14.679,7581696
23,14.725,7364608
24,14.976,7602176
25,14.851,7397376
26,14.928,7421952
27,14.504,7639040
28,26.203,7663616
29,14.695,7405568
30,141.760,7692288
31,15.039,7532544
32,138.706,7393280
33,14.657,7475200
34,138.208,7372800
35,14.796,7462912
36,14.658,7602176
37,14.620,7413760
38,14.761,7630848
39,14.766,7684096
40,14.582,7467008
41,14.568,7659520
42,14.790,7622656
43,14.676,7692288
44,14.879,7503872
45,14.852,7475200
46,14.620,7729152
47,17.336,7475200
48,14.928,7692288
49,14.642,7491584
50,14.620,7675904
51,14.854,7585792
52,15.002,7356416
53,19.614,7663616
54,14.925,7659520
55,14.720,7397376
56,14.626,7671808
57,14.654,7663616
58,14.911,7684096
59,14.670,7573504
60,14.725,7426048
61,14.527,7475200
62,14.690,7479296
63,14.668,7491584
64,14.730,7512064
65,14.694,7311360
66,16.175,7671808
67,140.889,7483392
68,14.725,7782400
69,138.655,7639040
70,14.745,7475200
71,140.221,7643136
72,14.758,7524352
73,139.668,7630848
74,24.002,7602176
75,26.236,7512064
76,32.227,7585792
77,31.565,7745536
78,159.789,7745536
79,161.081,7573504
80,32.010,7573504
81,26.901,7757824
82,30.394,7782400
83,155.270,7393280
84,29.756,7639040
85,26.386,7639040
86,24.102,7639040
87,24.269,7516160
88,26.021,7585792
89,26.265,7757824
90,22.959,7045120
91,24.302,7745536
92,24.322,7671808
93,24.524,7778304
94,148.915,7421952
95,23.354,7663616
96,24.098,7974912
97,24.111,7467008
98,23.950,7680000
99,22.913,7585792
100,24.594,7786496

Statistics:
Average Time,39.426 ms
Max Time,161.081 ms
Average Memory,7.228 MB
Max Memory,7.605 MB
