Run,Time(ms),Memory(Bytes)
1,498.026,13176832
2,499.187,13205504
3,497.464,13201408
4,498.846,13160448
5,500.262,13189120
6,499.813,13283328
7,498.222,13180928
8,500.793,13283328
9,498.670,13070336
10,499.201,13070336
11,498.922,13201408
12,501.086,13189120
13,497.864,13168640
14,498.885,13189120
15,498.530,13156352
16,498.778,13201408
17,502.286,13176832
18,660.011,13082624
19,496.974,13156352
20,497.145,13168640
21,499.727,13094912
22,372.982,13070336
23,500.602,13094912
24,499.479,13021184
25,499.119,13099008
26,502.620,13082624
27,501.090,13205504
28,498.837,13283328
29,497.856,13094912
30,498.341,13189120
31,498.544,13193216
32,500.623,13099008
33,499.633,13082624
34,498.544,13189120
35,499.153,13201408
36,499.981,13099008
37,497.507,13283328
38,496.062,13189120
39,499.046,13205504
40,496.025,13156352
41,498.980,13070336
42,497.433,13189120
43,500.123,13176832
44,500.557,13283328
45,498.274,13094912
46,498.581,13189120
47,497.910,13172736
48,498.563,13094912
49,498.382,13189120
50,501.246,13099008
51,498.257,13189120
52,497.453,13176832
53,499.536,13160448
54,497.578,13275136
55,498.802,13176832
56,499.534,13082624
57,498.522,13074432
58,498.125,13062144
59,497.480,13201408
60,495.917,13070336
61,497.409,13094912
62,495.044,13225984
63,497.339,13168640
64,498.104,13168640
65,497.532,13275136
66,496.890,13275136
67,498.058,13094912
68,497.961,13070336
69,501.381,13070336
70,500.014,13275136
71,502.906,13189120
72,554.158,13197312
73,501.345,13168640
74,497.742,13176832
75,498.921,13176832
76,499.544,13070336
77,544.057,13189120
78,834.698,13139968
79,752.789,13176832
80,755.738,13062144
81,739.561,10244096
82,757.397,13156352
83,583.229,13176832
84,548.992,13156352
85,498.395,13086720
86,501.453,13062144
87,499.977,13074432
88,498.937,13127680
89,498.667,13275136
90,498.652,13201408
91,498.240,13094912
92,498.835,13094912
93,499.839,13176832
94,498.656,13099008
95,497.147,13201408
96,496.742,13094912
97,497.668,13283328
98,496.642,13168640
99,501.173,13176832
100,498.307,13066240

Statistics:
Average Time,514.981 ms
Max Time,834.698 ms
Average Memory,12.519 MB
Max Memory,12.668 MB
