Run,Time(ms),Memory(Bytes)
1,0.150,6942720
2,0.153,6938624
3,0.153,7049216
4,0.156,6950912
5,0.157,6737920
6,0.153,6668288
7,0.152,6905856
8,0.151,6905856
9,0.152,6164480
10,0.152,6926336
11,0.150,6901760
12,0.157,6918144
13,0.151,6856704
14,0.152,6914048
15,0.149,6942720
16,0.219,7053312
17,0.151,6860800
18,0.150,6901760
19,0.152,6914048
20,0.149,6668288
21,0.150,6942720
22,0.186,7032832
23,0.150,7012352
24,0.150,6860800
25,0.150,6778880
26,0.150,6737920
27,0.154,6893568
28,0.150,6897664
29,0.159,7053312
30,0.202,7000064
31,0.150,7053312
32,0.152,6578176
33,0.150,6926336
34,0.150,6901760
35,0.150,6631424
36,0.159,6914048
37,0.156,6950912
38,0.170,6914048
39,0.153,7012352
40,0.155,6729728
41,0.151,6901760
42,0.151,7012352
43,0.176,7032832
44,0.151,6901760
45,0.161,6848512
46,0.150,7057408
47,0.154,6930432
48,0.181,6729728
49,0.159,6901760
50,0.217,7028736
51,0.159,6664192
52,0.152,6856704
53,0.154,6848512
54,0.153,6643712
55,0.151,7045120
56,0.151,6938624
57,0.151,6774784
58,0.153,6926336
59,0.153,6848512
60,0.150,6590464
61,0.151,6901760
62,0.151,6995968
63,0.150,6955008
64,0.150,6897664
65,0.154,6938624
66,0.152,6860800
67,0.153,6938624
68,0.150,6995968
69,0.153,6926336
70,0.151,6942720
71,0.149,7000064
72,0.153,6938624
73,0.150,7045120
74,0.151,6897664
75,0.150,6918144
76,0.150,6905856
77,0.150,6848512
78,0.151,6905856
79,0.151,7053312
80,0.151,6930432
81,0.153,6901760
82,0.221,6942720
83,0.157,6672384
84,0.155,6856704
85,0.154,6848512
86,0.153,6860800
87,0.151,6914048
88,0.151,6856704
89,0.150,6680576
90,0.151,6922240
91,0.151,7028736
92,0.152,6991872
93,0.153,7000064
94,0.152,6914048
95,0.150,6901760
96,0.181,7000064
97,0.158,7028736
98,0.206,6938624
99,0.154,7000064
100,0.192,6938624

Statistics:
Average Time,0.157 ms
Max Time,0.221 ms
Average Memory,6.575 MB
Max Memory,6.730 MB
