Run,Time(ms),Memory(Bytes)
1,1.259,7057408
2,1.266,6926336
3,1.283,7000064
4,1.324,6955008
5,1.305,7004160
6,1.268,6942720
7,1.250,7053312
8,1.262,7045120
9,1.279,6926336
10,1.283,7000064
11,1.271,6848512
12,1.254,6914048
13,1.325,6938624
14,1.247,7045120
15,1.286,6914048
16,1.417,7000064
17,1.227,6823936
18,1.226,7057408
19,1.266,6938624
20,1.290,6856704
21,1.271,6914048
22,1.270,7032832
23,1.316,6901760
24,1.250,7000064
25,1.224,6860800
26,1.227,6950912
27,1.233,6955008
28,1.281,7012352
29,1.221,6918144
30,1.226,6955008
31,1.263,7053312
32,1.271,7045120
33,1.322,7032832
34,1.284,6897664
35,1.269,6901760
36,1.236,6914048
37,1.263,6938624
38,1.248,6926336
39,1.272,6901760
40,1.253,7761920
41,1.280,6942720
42,1.228,7008256
43,1.260,7000064
44,1.232,7045120
45,1.257,6897664
46,1.275,6905856
47,1.281,6955008
48,1.267,6860800
49,1.299,6918144
50,1.263,7790592
51,1.272,6914048
52,1.262,6950912
53,1.235,6914048
54,1.277,6995968
55,1.249,6955008
56,1.276,7028736
57,1.318,6955008
58,1.248,6918144
59,1.262,7012352
60,1.264,6852608
61,1.262,7045120
62,1.260,6848512
63,122.985,6897664
64,1.222,6950912
65,1.254,7000064
66,1.247,6995968
67,1.225,7049216
68,1.260,6856704
69,1.316,7032832
70,1.318,6856704
71,1.350,6918144
72,1.254,6938624
73,1.246,7000064
74,122.594,7004160
75,1.268,6852608
76,1.256,6950912
77,1.231,7008256
78,1.256,7012352
79,1.246,6942720
80,1.227,6918144
81,1.259,6950912
82,1.297,7053312
83,1.268,6914048
84,1.255,6901760
85,1.285,6860800
86,1.282,7012352
87,1.297,6856704
88,1.238,6848512
89,1.282,6914048
90,1.219,7032832
91,1.240,6905856
92,1.245,6938624
93,1.249,7000064
94,1.215,6942720
95,1.410,7057408
96,1.277,7045120
97,1.239,6905856
98,1.233,7049216
99,1.276,6905856
100,1.293,6848512

Statistics:
Average Time,3.697 ms
Max Time,122.985 ms
Average Memory,6.647 MB
Max Memory,7.430 MB
