Run,Time(ms),Memory(Bytes)
1,504.486,7397376
2,496.029,7573504
3,502.016,7557120
4,494.624,7450624
5,498.373,7487488
6,495.026,7524352
7,498.227,7573504
8,492.543,7438336
9,503.916,7340032
10,509.037,7544832
11,494.469,7544832
12,501.472,7438336
13,538.564,7438336
14,517.963,7438336
15,500.769,7487488
16,495.037,7385088
17,506.408,7475200
18,501.609,7491584
19,530.378,7512064
20,505.119,7487488
21,503.945,7491584
22,496.454,7458816
23,487.909,7491584
24,501.793,7516160
25,501.603,7438336
26,496.004,7524352
27,524.931,7471104
28,503.351,7397376
29,502.652,7438336
30,500.174,7446528
31,500.495,7561216
32,499.401,7520256
33,509.402,7397376
34,497.068,7467008
35,493.348,7430144
36,496.631,7520256
37,500.941,7520256
38,494.301,7569408
39,504.260,7442432
40,503.701,7467008
41,498.162,7544832
42,504.647,7438336
43,631.641,7405568
44,515.573,7385088
45,509.375,7458816
46,502.841,7442432
47,522.547,7540736
48,506.781,7516160
49,496.474,7565312
50,370.540,7446528
51,503.914,7442432
52,507.512,7434240
53,498.354,7458816
54,523.367,7450624
55,510.832,7397376
56,505.448,7520256
57,501.006,7512064
58,500.223,7544832
59,507.120,7458816
60,495.794,7434240
61,712.838,7512064
62,761.136,7491584
63,743.640,7561216
64,770.582,7516160
65,759.582,7548928
66,685.808,7569408
67,735.732,7467008
68,743.094,7516160
69,772.482,7544832
70,737.196,7417856
71,700.131,7569408
72,515.549,7430144
73,501.500,7577600
74,493.638,7512064
75,503.652,7434240
76,494.070,7467008
77,497.479,8011776
78,505.801,7471104
79,492.780,7524352
80,500.579,7565312
81,501.315,7401472
82,500.939,7430144
83,495.296,7438336
84,502.172,7491584
85,505.441,7397376
86,506.404,7557120
87,510.015,7434240
88,511.364,7487488
89,507.281,7438336
90,499.316,7471104
91,493.502,7561216
92,506.848,7434240
93,512.366,7467008
94,506.968,7974912
95,507.100,7565312
96,493.501,7491584
97,492.100,7581696
98,369.158,7516160
99,494.642,7524352
100,633.756,7471104

Statistics:
Average Time,528.933 ms
Max Time,772.482 ms
Average Memory,7.147 MB
Max Memory,7.641 MB
