Run,Time(ms),Memory(Bytes)
1,24.487,7471104
2,24.154,7434240
3,25.198,7442432
4,23.219,7471104
5,25.918,7577600
6,24.224,7471104
7,23.544,7475200
8,148.122,7442432
9,24.531,7438336
10,148.881,7491584
11,23.675,7430144
12,148.090,7557120
13,24.581,7516160
14,24.128,7446528
15,23.531,7401472
16,23.967,7569408
17,25.161,7577600
18,24.244,7516160
19,23.416,7573504
20,25.092,7397376
21,150.152,7438336
22,22.775,7569408
23,148.480,7487488
24,24.507,7491584
25,24.994,7471104
26,23.557,7569408
27,23.814,7417856
28,23.074,7442432
29,23.216,7544832
30,24.136,7430144
31,24.021,7573504
32,149.864,7446528
33,24.555,7458816
34,149.158,7471104
35,24.718,7561216
36,148.130,7467008
37,22.997,7450624
38,23.814,7471104
39,24.673,7442432
40,23.591,7544832
41,24.499,7475200
42,23.416,7524352
43,23.675,7520256
44,23.627,7471104
45,147.317,7487488
46,23.622,7548928
47,148.743,7475200
48,22.826,7520256
49,24.060,7565312
50,24.088,7401472
51,24.353,7458816
52,24.362,7401472
53,23.723,7557120
54,24.977,7577600
55,24.617,7561216
56,149.372,7565312
57,23.611,7561216
58,147.312,7434240
59,24.089,7557120
60,149.051,7544832
61,24.207,7397376
62,24.325,7471104
63,23.629,7557120
64,23.775,7458816
65,23.312,7544832
66,24.834,7520256
67,25.396,7557120
68,24.898,7438336
69,148.262,7430144
70,23.832,7450624
71,148.829,7540736
72,24.338,7438336
73,147.891,7540736
74,24.558,7487488
75,24.437,7475200
76,23.916,7565312
77,24.347,7561216
78,24.030,7512064
79,22.996,7544832
80,24.445,7491584
81,24.195,7426048
82,148.313,7401472
83,23.859,7438336
84,148.300,7458816
85,24.733,7548928
86,150.427,7565312
87,23.375,7462912
88,23.482,7462912
89,24.166,7475200
90,23.616,7471104
91,23.979,7438336
92,22.923,7557120
93,148.043,7524352
94,25.497,7450624
95,148.505,7438336
96,23.682,7397376
97,147.122,7430144
98,24.342,7430144
99,23.834,7462912
100,24.213,7462912

Statistics:
Average Time,51.466 ms
Max Time,150.427 ms
Average Memory,7.143 MB
Max Memory,7.227 MB
