Run,Time(ms),Memory(Bytes)
1,528.234,7450624
2,658.653,7487488
3,526.627,7557120
4,522.077,7561216
5,653.019,7475200
6,522.291,7540736
7,533.571,7512064
8,653.253,7487488
9,536.241,7442432
10,525.263,7471104
11,522.851,7491584
12,533.298,7442432
13,650.711,7544832
14,531.123,7462912
15,523.608,7438336
16,659.737,7540736
17,531.738,7462912
18,525.363,7544832
19,526.391,7544832
20,524.071,7516160
21,520.994,7434240
22,656.653,7573504
23,539.987,7487488
24,526.894,7434240
25,529.106,7434240
26,525.621,7438336
27,526.602,7438336
28,534.851,7516160
29,650.618,7548928
30,533.453,7544832
31,523.035,7512064
32,642.892,7524352
33,525.914,7446528
34,525.294,7413760
35,658.888,7458816
36,529.067,7462912
37,528.142,7467008
38,532.663,7446528
39,657.800,7438336
40,519.661,7569408
41,526.322,7561216
42,656.180,7446528
43,523.273,7540736
44,525.982,7524352
45,651.229,7487488
46,528.479,7544832
47,532.668,7557120
48,529.869,7516160
49,649.859,7462912
50,524.658,7438336
51,529.189,7544832
52,654.697,7516160
53,526.680,7401472
54,529.092,7487488
55,648.207,7548928
56,532.460,7544832
57,528.395,7438336
58,524.366,7512064
59,524.287,7446528
60,532.940,7487488
61,522.072,7569408
62,684.272,7438336
63,521.058,7544832
64,526.872,7446528
65,532.095,7467008
66,664.064,7516160
67,524.473,7548928
68,521.223,7450624
69,529.364,7573504
70,524.025,7434240
71,529.598,7548928
72,526.481,7405568
73,530.149,7557120
74,522.220,7417856
75,653.664,7462912
76,523.982,7434240
77,527.416,7569408
78,652.972,7450624
79,525.825,7491584
80,531.996,7573504
81,533.645,7573504
82,651.191,7434240
83,530.672,7544832
84,532.085,7458816
85,523.422,7442432
86,527.563,7471104
87,525.163,7475200
88,526.941,7487488
89,654.276,7491584
90,519.331,7565312
91,530.783,7434240
92,651.742,7397376
93,532.411,7557120
94,528.659,7434240
95,527.629,7540736
96,523.161,7544832
97,528.429,7577600
98,527.776,7450624
99,643.617,7573504
100,526.607,7397376

Statistics:
Average Time,556.740 ms
Max Time,684.272 ms
Average Memory,7.146 MB
Max Memory,7.227 MB
