Run,Time(ms),Memory(Bytes)
1,2.842,7446528
2,2.927,7487488
3,2.921,7430144
4,3.002,7540736
5,2.851,7540736
6,2.864,7520256
7,2.830,7032832
8,2.989,7446528
9,2.829,6930432
10,2.868,7434240
11,2.857,7557120
12,2.888,7004160
13,2.791,7426048
14,2.866,7544832
15,2.944,7467008
16,2.839,7471104
17,2.849,7524352
18,2.875,7524352
19,2.801,6930432
20,2.859,7512064
21,2.879,7512064
22,2.854,7442432
23,2.785,7512064
24,2.845,7446528
25,2.862,7462912
26,2.901,7540736
27,2.807,7532544
28,2.992,7462912
29,2.890,7520256
30,2.848,7512064
31,2.874,7548928
32,2.794,7487488
33,2.839,7446528
34,2.810,7557120
35,2.821,7573504
36,2.865,7434240
37,2.849,7540736
38,2.945,7401472
39,2.877,7569408
40,2.878,7446528
41,2.804,7467008
42,2.820,7512064
43,2.800,7401472
44,2.946,7438336
45,2.921,7401472
46,2.836,7512064
47,2.943,7548928
48,2.878,7917568
49,2.799,7557120
50,2.883,7520256
51,2.840,7557120
52,2.809,7548928
53,2.905,6983680
54,2.887,7430144
55,2.859,7565312
56,2.829,7462912
57,2.835,7520256
58,2.990,7467008
59,2.945,6946816
60,2.800,7471104
61,2.835,7487488
62,121.174,7471104
63,2.826,7561216
64,2.862,7573504
65,2.835,7417856
66,2.862,7462912
67,2.802,7565312
68,2.801,7565312
69,2.854,7573504
70,2.916,7565312
71,2.898,7544832
72,2.871,7491584
73,2.801,7577600
74,2.829,7487488
75,2.944,7462912
76,3.179,7434240
77,2.846,6946816
78,3.002,7475200
79,2.858,6856704
80,2.772,7577600
81,2.821,7548928
82,2.866,7921664
83,3.089,7557120
84,2.795,7434240
85,2.841,7434240
86,2.803,7462912
87,2.824,7004160
88,2.889,7544832
89,2.842,7438336
90,2.850,7430144
91,2.890,7524352
92,2.854,7036928
93,2.947,7360512
94,2.826,7438336
95,2.812,7471104
96,2.868,7487488
97,2.870,7540736
98,2.834,7471104
99,2.827,7475200
100,2.834,7397376

Statistics:
Average Time,4.050 ms
Max Time,121.174 ms
Average Memory,7.105 MB
Max Memory,7.555 MB
