Run,Time(ms),Memory(Bytes)
1,23.088,7471104
2,147.700,7524352
3,22.330,7540736
4,22.934,7413760
5,22.944,7491584
6,21.827,7471104
7,21.931,7512064
8,20.815,7438336
9,146.441,7544832
10,21.936,7577600
11,22.197,7430144
12,20.906,7438336
13,20.534,7577600
14,21.369,7442432
15,23.110,7434240
16,146.456,7544832
17,24.084,7495680
18,145.408,7528448
19,21.532,7561216
20,25.210,7438336
21,22.196,7569408
22,22.071,7434240
23,146.209,7524352
24,22.174,7516160
25,147.601,7487488
26,22.351,7548928
27,23.874,7450624
28,24.242,7458816
29,22.673,7438336
30,145.779,6918144
31,23.420,7442432
32,148.096,7557120
33,20.870,7401472
34,21.835,7438336
35,23.459,7573504
36,21.085,7458816
37,147.210,7561216
38,23.306,7434240
39,22.440,7512064
40,21.098,7557120
41,22.420,7446528
42,22.821,7524352
43,20.131,6852608
44,145.919,7487488
45,24.049,7544832
46,146.893,7544832
47,21.568,7462912
48,21.458,7577600
49,22.850,7540736
50,21.608,7520256
51,146.469,7438336
52,21.233,7450624
53,147.012,7540736
54,22.380,7397376
55,22.527,7434240
56,24.820,7544832
57,21.119,7438336
58,146.385,7426048
59,22.966,7544832
60,144.586,6840320
61,21.553,7569408
62,24.001,7565312
63,23.473,7401472
64,20.171,7561216
65,147.769,7557120
66,23.085,7520256
67,146.638,7434240
68,24.087,7557120
69,23.646,7438336
70,22.479,7561216
71,22.820,7471104
72,145.981,7565312
73,22.591,7450624
74,146.081,7569408
75,21.754,7512064
76,22.435,7512064
77,22.402,7458816
78,22.114,7467008
79,148.620,7397376
80,22.751,7565312
81,149.922,7430144
82,24.993,7577600
83,23.119,7462912
84,22.946,7434240
85,22.195,7524352
86,148.541,7434240
87,21.367,7516160
88,22.122,7438336
89,22.525,7540736
90,20.741,7438336
91,23.253,7544832
92,20.867,7520256
93,147.107,7573504
94,22.792,7397376
95,145.949,7471104
96,20.823,7471104
97,22.415,7880704
98,20.135,7372800
99,22.301,7544832
100,23.678,7458816

Statistics:
Average Time,52.262 ms
Max Time,149.922 ms
Average Memory,7.132 MB
Max Memory,7.516 MB
