Run,Time(ms),Memory(Bytes)
1,488.127,7446528
2,471.794,7548928
3,510.600,7557120
4,483.208,7442432
5,486.444,7524352
6,503.597,7487488
7,925.708,7458816
8,789.794,7573504
9,590.316,7434240
10,730.706,7577600
11,738.153,7471104
12,720.987,7573504
13,483.873,7475200
14,491.979,7450624
15,499.786,7401472
16,496.751,7442432
17,493.395,7569408
18,511.445,7434240
19,506.083,7557120
20,481.093,7467008
21,476.205,7471104
22,472.568,7458816
23,513.320,7471104
24,486.157,7569408
25,494.633,7557120
26,489.351,7397376
27,481.655,7438336
28,468.322,7512064
29,498.706,7454720
30,479.110,7573504
31,519.695,7458816
32,486.703,7557120
33,497.828,7438336
34,511.865,7438336
35,494.263,7475200
36,504.384,7557120
37,489.405,7430144
38,480.458,7544832
39,496.752,7553024
40,482.345,7573504
41,507.738,7446528
42,504.054,7467008
43,495.328,7397376
44,497.945,7569408
45,486.277,7573504
46,502.868,7512064
47,472.248,7577600
48,477.922,7557120
49,510.769,7434240
50,487.460,7565312
51,471.812,7430144
52,493.117,7446528
53,490.710,7561216
54,497.804,7475200
55,486.088,7434240
56,474.864,7434240
57,499.714,7434240
58,479.334,7430144
59,494.064,7573504
60,488.838,7446528
61,491.366,7442432
62,475.415,7471104
63,487.523,7540736
64,505.577,7434240
65,497.569,7577600
66,501.779,7430144
67,486.070,7573504
68,363.925,7397376
69,511.972,7430144
70,341.666,7471104
71,481.130,7487488
72,485.934,7540736
73,494.917,7446528
74,491.428,7557120
75,498.318,7565312
76,357.063,7397376
77,502.905,7512064
78,478.887,7491584
79,494.102,7430144
80,472.314,8044544
81,478.157,7520256
82,491.189,7450624
83,488.482,7401472
84,483.971,7413760
85,340.870,7573504
86,525.892,7573504
87,523.163,7438336
88,487.134,7434240
89,505.343,7577600
90,489.326,7536640
91,491.806,7544832
92,507.922,7450624
93,490.965,7553024
94,486.712,7544832
95,495.793,7516160
96,480.866,7471104
97,492.678,7536640
98,503.207,7401472
99,470.723,7442432
100,500.325,7401472

Statistics:
Average Time,502.009 ms
Max Time,925.708 ms
Average Memory,7.149 MB
Max Memory,7.672 MB
