Run,Time(ms),Memory(Bytes)
1,0.679,6885376
2,0.682,6991872
3,0.713,6938624
4,0.772,6991872
5,0.712,7036928
6,0.736,6893568
7,0.781,6836224
8,0.807,6885376
9,0.727,6836224
10,0.736,6991872
11,0.714,6926336
12,0.730,6901760
13,0.773,6922240
14,0.766,7016448
15,0.795,6877184
16,0.677,6897664
17,0.665,6926336
18,0.682,6926336
19,0.673,6922240
20,0.713,6889472
21,0.704,6848512
22,0.690,6983680
23,0.761,7012352
24,0.786,6877184
25,0.715,7032832
26,0.765,6991872
27,0.754,6926336
28,0.746,6991872
29,0.739,6983680
30,0.706,7036928
31,0.716,6848512
32,0.759,6905856
33,0.715,6995968
34,0.676,6991872
35,0.729,6914048
36,0.745,6901760
37,0.730,6901760
38,0.715,6934528
39,0.752,6922240
40,0.736,7036928
41,0.757,6934528
42,0.667,6922240
43,0.728,6885376
44,0.699,6889472
45,0.732,7041024
46,0.709,6938624
47,0.691,6844416
48,0.811,6889472
49,0.673,6983680
50,0.677,6893568
51,0.727,6983680
52,0.709,6840320
53,0.685,6938624
54,0.668,6881280
55,0.717,6885376
56,0.768,6934528
57,0.736,6922240
58,0.798,6889472
59,0.715,6922240
60,0.758,6848512
61,0.775,7036928
62,0.674,7032832
63,0.717,6885376
64,0.836,6844416
65,0.684,6983680
66,0.742,6979584
67,0.681,6901760
68,0.676,6914048
69,0.983,6881280
70,0.716,6922240
71,0.764,6975488
72,0.712,6885376
73,0.819,6889472
74,0.689,6934528
75,0.711,6905856
76,0.719,6885376
77,0.733,6901760
78,0.722,6934528
79,0.674,6983680
80,0.768,6922240
81,0.727,7032832
82,0.733,6983680
83,0.725,6991872
84,0.674,6991872
85,0.748,6979584
86,0.722,7032832
87,0.719,6922240
88,0.664,6885376
89,0.713,6979584
90,0.729,6848512
91,0.717,6897664
92,0.705,6893568
93,0.696,6934528
94,0.741,6979584
95,0.695,7016448
96,0.696,6983680
97,0.787,6864896
98,0.721,6901760
99,0.806,6844416
100,0.752,6905856

Statistics:
Average Time,0.729 ms
Max Time,0.983 ms
Average Memory,6.612 MB
Max Memory,6.715 MB
