Run,Time(ms),Memory(Bytes)
1,7.242,6893568
2,6.992,6889472
3,7.470,6877184
4,7.176,6938624
5,7.207,6905856
6,7.270,6909952
7,7.074,6844416
8,7.086,6848512
9,7.211,6815744
10,7.129,7036928
11,7.127,6901760
12,7.285,6909952
13,7.318,6909952
14,7.100,6844416
15,8.431,6897664
16,7.054,6897664
17,7.095,6844416
18,7.181,6922240
19,7.326,7016448
20,7.161,6914048
21,7.511,7032832
22,7.119,6926336
23,7.149,6922240
24,7.190,6938624
25,7.203,6926336
26,7.062,6983680
27,7.238,6905856
28,7.202,7036928
29,7.271,6983680
30,7.544,6889472
31,7.056,6889472
32,6.998,6983680
33,7.143,6909952
34,7.304,7016448
35,7.186,6922240
36,7.033,6991872
37,7.322,6909952
38,7.378,6889472
39,7.215,6885376
40,7.018,6922240
41,7.479,6979584
42,7.141,6909952
43,7.055,6922240
44,7.299,6934528
45,7.065,7016448
46,7.150,6905856
47,7.282,7028736
48,7.244,6897664
49,7.296,6889472
50,7.117,6905856
51,7.077,6922240
52,7.215,6889472
53,7.217,6836224
54,7.777,6922240
55,7.328,6983680
56,7.123,6914048
57,7.065,6901760
58,7.278,6881280
59,8.633,6901760
60,7.237,6885376
61,7.095,6901760
62,7.773,6901760
63,7.707,6991872
64,7.286,6901760
65,7.172,6995968
66,7.202,7000064
67,7.133,6926336
68,7.320,6840320
69,7.136,6918144
70,7.450,6987776
71,7.222,6901760
72,7.009,6889472
73,7.220,6971392
74,7.587,6889472
75,7.152,6881280
76,7.255,6848512
77,7.305,6881280
78,7.254,6901760
79,7.433,6889472
80,7.197,6889472
81,7.656,7041024
82,7.186,6926336
83,7.239,6844416
84,7.186,6991872
85,7.107,6914048
86,7.204,6922240
87,7.105,6934528
88,7.123,6983680
89,7.242,6938624
90,7.167,6885376
91,7.315,6926336
92,8.011,6909952
93,7.085,6901760
94,7.335,6905856
95,7.327,6914048
96,7.470,6897664
97,7.093,6889472
98,7.089,7016448
99,7.231,6983680
100,7.163,6848512

Statistics:
Average Time,7.264 ms
Max Time,8.633 ms
Average Memory,6.601 MB
Max Memory,6.715 MB
