Run,Time(ms),Memory(Bytes)
1,2.760,6995968
2,2.758,6914048
3,123.879,6922240
4,2.850,7012352
5,2.829,6889472
6,3.090,6922240
7,2.811,6901760
8,2.796,6885376
9,2.817,7032832
10,2.734,6852608
11,2.749,6836224
12,2.799,6938624
13,2.797,6844416
14,3.002,6893568
15,2.790,6979584
16,2.782,6848512
17,2.794,7041024
18,2.881,6983680
19,3.485,6963200
20,2.989,7016448
21,2.846,6897664
22,2.781,6983680
23,2.846,6885376
24,2.936,6914048
25,2.791,7036928
26,2.796,6938624
27,2.808,7036928
28,2.857,6840320
29,2.767,6914048
30,3.084,7041024
31,2.797,6909952
32,2.772,6983680
33,2.862,6836224
34,2.776,6979584
35,2.871,6901760
36,3.274,6889472
37,2.798,6840320
38,2.808,7041024
39,2.882,6889472
40,2.774,6885376
41,3.028,6836224
42,2.754,6836224
43,2.778,6983680
44,2.975,6901760
45,2.809,7041024
46,2.743,6901760
47,2.779,6893568
48,2.791,6909952
49,2.772,6938624
50,2.766,6979584
51,2.827,7036928
52,2.819,6893568
53,2.790,6909952
54,2.801,6901760
55,2.789,7036928
56,2.881,6840320
57,2.869,7012352
58,3.005,6897664
59,2.784,6889472
60,2.782,6864896
61,2.819,6909952
62,2.941,6840320
63,3.243,6922240
64,2.829,6922240
65,3.166,6991872
66,2.800,6983680
67,2.860,6885376
68,2.931,6901760
69,3.057,6934528
70,4.088,5300224
71,4.657,6995968
72,4.519,6926336
73,4.299,6987776
74,2.911,7012352
75,2.779,6905856
76,2.787,6914048
77,2.791,6893568
78,3.317,6909952
79,2.809,6840320
80,2.776,6848512
81,2.823,7036928
82,2.960,6848512
83,2.770,6909952
84,2.982,6889472
85,3.415,6934528
86,4.320,6844416
87,3.048,6901760
88,2.840,6877184
89,2.769,7041024
90,3.028,6979584
91,3.829,6983680
92,2.801,6983680
93,2.836,6938624
94,2.853,6938624
95,2.773,7036928
96,2.854,7028736
97,3.065,6922240
98,3.117,6991872
99,2.767,6893568
100,3.131,6893568

Statistics:
Average Time,4.174 ms
Max Time,123.879 ms
Average Memory,6.595 MB
Max Memory,6.715 MB
