Run,Time(ms),Memory(Bytes)
1,953.530,9228288
2,836.506,9129984
3,821.240,9232384
4,831.099,9228288
5,817.012,9289728
6,952.668,9236480
7,947.465,9334784
8,947.441,9228288
9,951.200,9236480
10,825.056,9236480
11,947.174,9334784
12,954.581,9240576
13,953.647,9228288
14,946.424,9228288
15,945.225,9129984
16,825.669,9228288
17,821.846,9248768
18,820.212,9285632
19,948.303,9342976
20,944.867,9129984
21,950.231,9158656
22,952.860,9261056
23,844.502,9248768
24,959.448,9216000
25,948.487,9261056
26,948.003,9158656
27,962.329,9129984
28,821.619,9289728
29,830.831,9265152
30,950.909,9216000
31,950.336,9334784
32,942.346,9220096
33,952.647,9121792
34,818.009,9236480
35,821.661,9236480
36,814.834,9179136
37,985.793,9236480
38,944.721,9154560
39,944.846,9129984
40,939.573,9228288
41,945.817,9121792
42,942.412,9129984
43,971.046,9220096
44,957.837,9134080
45,828.471,9248768
46,820.533,9142272
47,827.073,9129984
48,947.342,9142272
49,951.782,9248768
50,951.033,9134080
51,950.980,9347072
52,820.054,9154560
53,817.639,9154560
54,820.971,9216000
55,824.573,9338880
56,826.141,9105408
57,945.355,9158656
58,945.159,9342976
59,943.033,9252864
60,942.961,9134080
61,945.655,9293824
62,828.026,9248768
63,823.562,9138176
64,819.147,9154560
65,817.533,9162752
66,950.017,9240576
67,954.970,9248768
68,961.501,9342976
69,848.678,9248768
70,948.165,9158656
71,949.110,9084928
72,950.807,9134080
73,943.619,9129984
74,824.129,9228288
75,825.460,9334784
76,972.406,9121792
77,944.583,9338880
78,960.569,9236480
79,944.085,9142272
80,947.082,9142272
81,825.483,9240576
82,832.051,9158656
83,823.555,9265152
84,943.158,9334784
85,951.944,9121792
86,948.994,9121792
87,947.123,9265152
88,945.740,9248768
89,949.494,9142272
90,823.646,9248768
91,816.234,9191424
92,816.081,9240576
93,815.906,9285632
94,823.704,9334784
95,822.307,9216000
96,820.518,9236480
97,821.413,9285632
98,821.322,9129984
99,816.863,9121792
100,820.841,9158656

Statistics:
Average Time,896.008 ms
Max Time,985.793 ms
Average Memory,8.787 MB
Max Memory,8.914 MB
