Run,Time(ms),Memory(Bytes)
1,0.212,6713344
2,0.213,6565888
3,0.210,7815168
4,0.238,6983680
5,0.256,6840320
6,0.215,6983680
7,0.240,6651904
8,0.338,7614464
9,0.213,6922240
10,0.210,6811648
11,0.216,6619136
12,0.245,6926336
13,0.209,6848512
14,0.233,6893568
15,0.213,6656000
16,0.226,7036928
17,0.221,6651904
18,0.225,6811648
19,0.218,6639616
20,0.232,6578176
21,0.224,6905856
22,0.210,6885376
23,0.212,6631424
24,0.208,6901760
25,0.214,6848512
26,0.212,6574080
27,0.214,6664192
28,0.211,6578176
29,0.210,6709248
30,0.255,7036928
31,0.218,6668288
32,0.210,6578176
33,0.211,6668288
34,0.224,6656000
35,0.210,6569984
36,0.259,6844416
37,0.216,7016448
38,0.212,7032832
39,0.227,6983680
40,0.209,7041024
41,0.219,6619136
42,0.211,6656000
43,0.211,6979584
44,0.216,6619136
45,0.214,6709248
46,0.210,6746112
47,0.218,6926336
48,0.218,6901760
49,0.211,6717440
50,0.214,6758400
51,0.212,6742016
52,0.215,6471680
53,0.337,6901760
54,0.208,6983680
55,0.211,6766592
56,0.209,7032832
57,0.262,6713344
58,0.443,6901760
59,0.214,6840320
60,0.222,6885376
61,0.212,6574080
62,0.212,6922240
63,0.236,6668288
64,0.384,6922240
65,0.328,6905856
66,0.215,6893568
67,0.209,6991872
68,0.237,6578176
69,0.215,6623232
70,0.214,6635520
71,0.216,6623232
72,0.218,6909952
73,0.212,6578176
74,0.216,6623232
75,0.213,6639616
76,0.209,6717440
77,0.213,6639616
78,0.214,6889472
79,0.301,7028736
80,0.208,6623232
81,0.216,6991872
82,0.210,6619136
83,0.229,6643712
84,0.212,6983680
85,0.256,6746112
86,0.235,6651904
87,0.210,6979584
88,0.210,6549504
89,0.211,6746112
90,0.252,6926336
91,0.258,6983680
92,0.209,6348800
93,0.209,6619136
94,0.210,6901760
95,0.216,6901760
96,0.224,6635520
97,0.222,6717440
98,0.217,6619136
99,0.231,6651904
100,0.289,6746112

Statistics:
Average Time,0.228 ms
Max Time,0.443 ms
Average Memory,6.477 MB
Max Memory,7.453 MB
