Run,Time(ms),Memory(Bytes)
1,916.233,9224192
2,915.652,9326592
3,920.492,9138176
4,921.038,9203712
5,918.785,9334784
6,920.158,9138176
7,925.928,9166848
8,947.144,9138176
9,928.558,9142272
10,916.515,9326592
11,918.133,9228288
12,918.705,9351168
13,795.060,9195520
14,791.074,9351168
15,786.739,9338880
16,788.364,9207808
17,789.013,9342976
18,790.901,9228288
19,797.516,9244672
20,795.788,9207808
21,915.221,9138176
22,919.938,9322496
23,918.691,9203712
24,914.704,9142272
25,917.714,9228288
26,790.674,9265152
27,791.699,9334784
28,790.850,9138176
29,793.150,9224192
30,794.337,9297920
31,788.230,9351168
32,798.175,9195520
33,789.740,9334784
34,798.085,9166848
35,798.850,9142272
36,805.570,9097216
37,791.213,9359360
38,794.029,9334784
39,791.644,9207808
40,792.283,9158656
41,790.891,9224192
42,919.795,9322496
43,797.957,9293824
44,796.510,9199616
45,792.314,9236480
46,792.803,9355264
47,790.368,9203712
48,792.520,9261056
49,796.468,9154560
50,796.010,9293824
51,790.686,9326592
52,792.279,9138176
53,790.590,9342976
54,914.928,9322496
55,919.419,9326592
56,924.767,9142272
57,919.629,9170944
58,929.082,9150464
59,920.717,9314304
60,788.017,9224192
61,791.628,9261056
62,802.856,9310208
63,805.074,9166848
64,787.364,9203712
65,790.693,9334784
66,791.248,9195520
67,788.788,9342976
68,791.353,9256960
69,789.436,9293824
70,789.265,9236480
71,790.059,9322496
72,792.223,9228288
73,793.568,9203712
74,786.701,9322496
75,916.748,9203712
76,919.290,9293824
77,958.129,9195520
78,796.813,9297920
79,916.915,9138176
80,916.361,9342976
81,919.560,9355264
82,924.174,9170944
83,918.055,9240576
84,916.631,9150464
85,925.979,9351168
86,917.596,9244672
87,921.557,9244672
88,919.001,9146368
89,797.637,9244672
90,794.817,9236480
91,789.801,9302016
92,793.990,9224192
93,797.490,9150464
94,802.413,9203712
95,793.210,9293824
96,792.356,9142272
97,792.899,9248768
98,790.593,9183232
99,796.476,9183232
100,792.903,9334784

Statistics:
Average Time,840.640 ms
Max Time,958.129 ms
Average Memory,8.815 MB
Max Memory,8.926 MB
