Run,Time(ms),Memory(Bytes)
1,0.331,6885376
2,0.337,6922240
3,0.333,6946816
4,0.335,6922240
5,0.345,6991872
6,0.341,6979584
7,0.344,6983680
8,0.346,6922240
9,0.361,6922240
10,0.348,6942720
11,0.373,6979584
12,0.331,6836224
13,0.329,6836224
14,0.336,6979584
15,0.381,6914048
16,0.337,6901760
17,0.342,6844416
18,0.330,6934528
19,0.337,6901760
20,0.432,6991872
21,0.326,6987776
22,0.342,6909952
23,0.331,6889472
24,0.381,6922240
25,0.352,6963200
26,0.342,6922240
27,0.385,6991872
28,0.349,6901760
29,0.372,6983680
30,0.342,6938624
31,0.369,6987776
32,0.398,6905856
33,0.341,6934528
34,0.336,7028736
35,0.341,6971392
36,0.328,6983680
37,0.369,6901760
38,0.353,6991872
39,0.344,6938624
40,0.350,6885376
41,0.335,6889472
42,0.379,6897664
43,0.351,6889472
44,0.581,6889472
45,0.331,7036928
46,0.335,6922240
47,0.401,6897664
48,0.385,7016448
49,0.359,7028736
50,0.358,6991872
51,0.352,6840320
52,0.326,6909952
53,0.343,6889472
54,0.331,7028736
55,0.357,7041024
56,0.336,7041024
57,0.355,6836224
58,0.331,6909952
59,0.358,6885376
60,0.341,6926336
61,0.340,6877184
62,0.333,7041024
63,0.337,7016448
64,0.383,7028736
65,0.342,6901760
66,0.354,6991872
67,0.339,6893568
68,0.353,6983680
69,0.373,6889472
70,0.395,6987776
71,0.342,6987776
72,0.329,6905856
73,0.339,6844416
74,0.350,6926336
75,0.355,6889472
76,0.355,6926336
77,0.362,7041024
78,0.367,6995968
79,0.350,6901760
80,0.385,6914048
81,0.367,6979584
82,0.364,6914048
83,0.401,6922240
84,0.349,7016448
85,0.335,6995968
86,0.330,6840320
87,0.341,6914048
88,0.333,6938624
89,0.355,6905856
90,0.329,7041024
91,0.359,6922240
92,0.330,6922240
93,0.326,7036928
94,0.338,6942720
95,0.424,7036928
96,0.337,6901760
97,0.370,6926336
98,0.331,7012352
99,0.362,6983680
100,0.331,6922240

Statistics:
Average Time,0.353 ms
Max Time,0.581 ms
Average Memory,6.621 MB
Max Memory,6.715 MB
