Run,Time(ms),Memory(Bytes)
1,3.378,6836224
2,3.298,6914048
3,3.353,7032832
4,3.347,6979584
5,3.359,6893568
6,3.374,6893568
7,3.290,6995968
8,128.583,7041024
9,3.485,6823936
10,3.350,6889472
11,3.687,6926336
12,3.372,6995968
13,3.373,7041024
14,3.425,7032832
15,3.406,6979584
16,3.887,6901760
17,3.733,6885376
18,3.385,6901760
19,3.363,6893568
20,3.324,6889472
21,3.525,6885376
22,3.349,7036928
23,3.535,6909952
24,3.389,6922240
25,4.082,6914048
26,3.365,6844416
27,3.407,6889472
28,3.494,6938624
29,3.353,6922240
30,3.525,6983680
31,3.350,6991872
32,3.326,6934528
33,3.460,6901760
34,3.406,7028736
35,3.456,6897664
36,3.395,7041024
37,128.295,6938624
38,3.579,7032832
39,3.342,6844416
40,3.347,7041024
41,3.540,7811072
42,3.374,6901760
43,3.389,7041024
44,127.735,6905856
45,3.521,7016448
46,128.550,7041024
47,3.459,6914048
48,3.446,6905856
49,3.287,6836224
50,3.305,6897664
51,3.409,7041024
52,3.333,6983680
53,3.310,6922240
54,3.342,6934528
55,3.315,6889472
56,3.396,6934528
57,3.372,6901760
58,4.120,6889472
59,3.319,6922240
60,3.338,7036928
61,3.370,6938624
62,3.423,7036928
63,3.391,6889472
64,3.363,7041024
65,3.492,6905856
66,3.462,7036928
67,3.402,6926336
68,3.409,6893568
69,3.628,6909952
70,3.525,6983680
71,3.327,6885376
72,3.322,7032832
73,3.389,6995968
74,3.388,6983680
75,3.831,6909952
76,3.333,6979584
77,4.004,6893568
78,3.346,6938624
79,3.395,6889472
80,3.301,6975488
81,3.359,6995968
82,3.706,7041024
83,3.510,6905856
84,3.328,6893568
85,3.371,6983680
86,3.862,6893568
87,3.317,6877184
88,128.713,7041024
89,3.381,6885376
90,3.333,6991872
91,3.369,6926336
92,3.462,7036928
93,3.339,6844416
94,3.370,6983680
95,3.411,6934528
96,3.490,6889472
97,3.296,6922240
98,3.302,6901760
99,3.313,6897664
100,3.371,7012352

Statistics:
Average Time,9.683 ms
Max Time,128.713 ms
Average Memory,6.631 MB
Max Memory,7.449 MB
