Run,Time(ms),Memory(Bytes)
1,0.179,7012352
2,0.179,6955008
3,0.180,6918144
4,0.179,7000064
5,0.180,6955008
6,0.181,7028736
7,0.179,6914048
8,0.177,7028736
9,0.180,6950912
10,0.184,6914048
11,0.250,7028736
12,0.178,6729728
13,0.190,6848512
14,0.178,7057408
15,0.195,6307840
16,0.184,6742016
17,0.182,6950912
18,0.179,6950912
19,0.176,6930432
20,0.177,7000064
21,0.178,6647808
22,0.180,7004160
23,0.183,6938624
24,0.179,7000064
25,0.177,6918144
26,0.178,7049216
27,0.179,6918144
28,0.176,6987776
29,0.185,7032832
30,0.177,6995968
31,0.179,6938624
32,0.179,6905856
33,0.177,7004160
34,0.191,7000064
35,0.179,6995968
36,0.179,6938624
37,0.187,7045120
38,0.180,7028736
39,0.179,6848512
40,0.189,6918144
41,0.186,6926336
42,0.180,6918144
43,0.182,6840320
44,0.177,7049216
45,0.181,7049216
46,0.182,7028736
47,0.181,7057408
48,0.178,7028736
49,0.179,7045120
50,0.182,6914048
51,0.181,6914048
52,0.180,6914048
53,0.180,6848512
54,0.179,6860800
55,0.181,6914048
56,0.179,6938624
57,0.177,6848512
58,0.180,6909952
59,0.187,7049216
60,0.184,6950912
61,0.187,6926336
62,0.180,6897664
63,0.187,4055040
64,0.187,7045120
65,0.183,6914048
66,0.180,7049216
67,0.178,6680576
68,0.179,6672384
69,0.178,6643712
70,0.187,7045120
71,0.178,6914048
72,0.177,6582272
73,0.179,7000064
74,0.180,6905856
75,0.179,7053312
76,0.180,6955008
77,0.178,6918144
78,0.178,6852608
79,0.185,7008256
80,0.177,6729728
81,0.178,7012352
82,0.177,6905856
83,0.179,7000064
84,0.178,6914048
85,0.180,6938624
86,0.182,7000064
87,0.178,6938624
88,0.190,7004160
89,0.179,7032832
90,0.184,7012352
91,0.179,6938624
92,0.178,6930432
93,0.195,6782976
94,0.178,6901760
95,0.179,6938624
96,0.182,6578176
97,0.179,6914048
98,0.184,6852608
99,0.181,6901760
100,0.187,6901760

Statistics:
Average Time,0.182 ms
Max Time,0.250 ms
Average Memory,6.576 MB
Max Memory,6.730 MB
