Run,Time(ms),Memory(Bytes)
1,0.184,7008256
2,0.183,6901760
3,0.186,6582272
4,0.184,6930432
5,0.183,6950912
6,0.186,6942720
7,0.183,6901760
8,0.185,7057408
9,0.184,7045120
10,0.186,7049216
11,0.186,6897664
12,0.183,7028736
13,0.185,6897664
14,0.188,6914048
15,0.192,6856704
16,0.186,6647808
17,0.184,7053312
18,0.184,7028736
19,0.185,7028736
20,0.187,6729728
21,0.183,6578176
22,0.183,6897664
23,0.186,6914048
24,0.185,6631424
25,0.186,6848512
26,0.199,6668288
27,0.189,6950912
28,0.191,7000064
29,0.195,6860800
30,0.193,6758400
31,0.185,6647808
32,0.183,6848512
33,0.184,6942720
34,0.186,6918144
35,0.183,7000064
36,0.188,6918144
37,0.185,7057408
38,0.185,6631424
39,0.183,7032832
40,0.187,6934528
41,0.182,6901760
42,0.184,7032832
43,0.202,6729728
44,0.186,6942720
45,0.192,6643712
46,0.185,6905856
47,0.183,6995968
48,0.208,7028736
49,0.204,6938624
50,0.188,6787072
51,0.184,6774784
52,0.183,6778880
53,0.188,6905856
54,0.184,7032832
55,0.185,6914048
56,0.185,6856704
57,0.185,6848512
58,0.183,6930432
59,0.183,6787072
60,0.224,6627328
61,0.200,6139904
62,0.184,7045120
63,0.185,6955008
64,0.184,7045120
65,0.187,6647808
66,0.186,7045120
67,0.190,6844416
68,0.187,6918144
69,0.182,6938624
70,0.185,6565888
71,0.202,6950912
72,0.190,6660096
73,0.191,6848512
74,0.185,6905856
75,0.191,7045120
76,0.186,6549504
77,0.186,7008256
78,0.192,7057408
79,0.192,6938624
80,0.191,6848512
81,0.351,6905856
82,0.186,6266880
83,0.197,6631424
84,0.195,6926336
85,0.184,7049216
86,0.225,6668288
87,0.184,6897664
88,0.219,7057408
89,0.185,6918144
90,0.185,6938624
91,0.192,7004160
92,0.193,6582272
93,0.183,7053312
94,0.186,6926336
95,0.189,6860800
96,0.188,6668288
97,0.190,6672384
98,0.190,6725632
99,0.186,6684672
100,0.184,7012352

Statistics:
Average Time,0.190 ms
Max Time,0.351 ms
Average Memory,6.545 MB
Max Memory,6.730 MB
