Run,Time(ms),Memory(Bytes)
1,940.547,15593472
2,937.805,15556608
3,935.936,15585280
4,937.875,15482880
5,934.499,15503360
6,940.045,15667200
7,942.203,15486976
8,935.251,15499264
9,809.956,15560704
10,808.797,15503360
11,818.082,15581184
12,807.366,15667200
13,808.011,15679488
14,808.223,15474688
15,807.884,15503360
16,813.034,15556608
17,810.657,15486976
18,809.572,15585280
19,810.181,15577088
20,809.591,15499264
21,812.393,15654912
22,814.151,15671296
23,806.294,15462400
24,808.213,15560704
25,813.782,15499264
26,806.725,15536128
27,810.712,15601664
28,810.849,15519744
29,942.115,15687680
30,804.505,15523840
31,807.287,15499264
32,804.700,15572992
33,809.555,15474688
34,811.829,15478784
35,807.016,15593472
36,809.681,15499264
37,817.754,15470592
38,812.307,15675392
39,814.691,15474688
40,813.058,15589376
41,935.894,15622144
42,935.506,15679488
43,937.405,15474688
44,937.806,15482880
45,936.976,15560704
46,937.793,15486976
47,941.989,15585280
48,948.304,15491072
49,957.475,15601664
50,947.353,15470592
51,817.205,15572992
52,939.973,15626240
53,942.185,15474688
54,939.588,15474688
55,940.881,15585280
56,937.205,15499264
57,940.180,15626240
58,936.563,15486976
59,943.062,15622144
60,940.378,15499264
61,812.517,15577088
62,944.517,15585280
63,939.237,15470592
64,814.394,15593472
65,818.479,15474688
66,817.387,15556608
67,945.413,15589376
68,810.517,15503360
69,964.413,15478784
70,1467.220,15626240
71,1067.690,15470592
72,1191.910,15478784
73,1208.430,15585280
74,1063.690,15474688
75,939.207,15556608
76,943.220,15671296
77,814.528,15597568
78,810.999,15478784
79,816.708,15593472
80,826.941,15589376
81,818.092,15478784
82,809.143,15478784
83,812.369,15572992
84,809.829,15671296
85,807.446,15470592
86,811.189,15499264
87,809.353,15486976
88,938.476,15597568
89,935.166,15491072
90,942.382,15585280
91,940.898,15593472
92,942.897,15601664
93,945.649,15601664
94,941.994,15675392
95,939.384,15622144
96,936.691,15585280
97,939.662,15622144
98,939.584,15581184
99,940.797,15601664
100,940.408,15572992

Statistics:
Average Time,891.757 ms
Max Time,1467.220 ms
Average Memory,14.833 MB
Max Memory,14.961 MB
