Run,Time(ms),Memory(Bytes)
1,3.557,6955008
2,3.674,6914048
3,3.531,7323648
4,3.574,6860800
5,3.553,7409664
6,3.562,7045120
7,3.568,7270400
8,3.588,6914048
9,3.561,6856704
10,3.529,6938624
11,123.106,6942720
12,3.558,6938624
13,3.538,6950912
14,3.571,6995968
15,3.523,6938624
16,3.556,7049216
17,3.515,7053312
18,3.551,6905856
19,3.546,6905856
20,3.560,7000064
21,3.564,6955008
22,3.597,7000064
23,3.547,6856704
24,3.585,6901760
25,3.516,6860800
26,3.552,6950912
27,3.552,7053312
28,3.556,6922240
29,3.542,6918144
30,3.583,7409664
31,3.612,6938624
32,3.635,7000064
33,3.574,6897664
34,3.565,7008256
35,3.547,7008256
36,3.597,6922240
37,3.567,7012352
38,3.587,6848512
39,3.514,6860800
40,3.540,7028736
41,3.541,6950912
42,3.571,6995968
43,3.654,6950912
44,3.573,6848512
45,3.568,7028736
46,3.558,6995968
47,3.554,6930432
48,3.918,6848512
49,3.572,6942720
50,3.719,6955008
51,4.255,6938624
52,3.643,7057408
53,3.601,7045120
54,3.561,7045120
55,3.521,7000064
56,3.573,6918144
57,3.534,6860800
58,3.539,7208960
59,3.734,6926336
60,3.549,6819840
61,3.524,6930432
62,3.520,7045120
63,3.528,6942720
64,3.531,7057408
65,3.554,7032832
66,3.776,7221248
67,3.572,7057408
68,3.595,6901760
69,3.532,6955008
70,3.501,7262208
71,3.566,6848512
72,3.538,7409664
73,3.533,6840320
74,3.584,7008256
75,3.541,7204864
76,3.567,6856704
77,3.691,6914048
78,3.528,6901760
79,3.543,6926336
80,3.520,6918144
81,3.529,7004160
82,3.575,7008256
83,3.525,7004160
84,3.564,6938624
85,3.531,7364608
86,3.524,6905856
87,3.546,6918144
88,3.551,7028736
89,3.521,7028736
90,3.757,6938624
91,3.536,6922240
92,3.576,6918144
93,3.574,7053312
94,3.633,6942720
95,3.588,7045120
96,3.547,6955008
97,3.562,6856704
98,3.568,6897664
99,3.527,6955008
100,3.582,6955008

Statistics:
Average Time,4.773 ms
Max Time,123.106 ms
Average Memory,6.663 MB
Max Memory,7.066 MB
