Run,Time(ms),Memory(Bytes)
1,1291.880,15642624
2,1326.150,15540224
3,1294.590,15560704
4,1301.400,15560704
5,1298.230,15642624
6,1298.500,15536128
7,1298.940,15650816
8,1304.960,15568896
9,1311.330,15626240
10,1307.930,15536128
11,1304.000,15593472
12,1305.080,15536128
13,1316.350,15486976
14,1298.340,15613952
15,1304.670,15572992
16,1299.530,15577088
17,1431.500,15503360
18,1428.720,15646720
19,1424.740,15556608
20,1422.490,15556608
21,1292.130,15568896
22,1290.780,15560704
23,1298.680,15499264
24,1301.050,15589376
25,1294.510,15474688
26,1419.480,15507456
27,1417.880,15642624
28,1288.870,15659008
29,1315.510,15560704
30,1420.710,15564800
31,1284.920,15446016
32,1289.750,15593472
33,1289.060,15663104
34,1410.510,15572992
35,1420.530,15568896
36,1286.420,15626240
37,1285.300,15663104
38,1281.190,15560704
39,1415.410,15532032
40,1418.080,15564800
41,1413.300,15577088
42,1291.760,15646720
43,1296.340,15540224
44,1287.750,15503360
45,1291.100,15503360
46,1403.380,15568896
47,1283.190,15499264
48,1282.180,15671296
49,1298.730,15499264
50,1289.510,15671296
51,1289.570,15646720
52,1286.060,15536128
53,1418.780,15560704
54,1423.860,15679488
55,1417.810,15572992
56,1444.090,15642624
57,1422.770,15646720
58,1415.930,15667200
59,1423.080,15478784
60,1295.730,15478784
61,1420.960,15646720
62,1292.390,15503360
63,1291.840,15650816
64,1287.670,15659008
65,1288.180,15572992
66,1286.730,15491072
67,1414.730,15650816
68,1423.390,15675392
69,1413.790,15474688
70,1281.430,15626240
71,1282.030,15572992
72,1281.180,15646720
73,1291.070,15536128
74,1285.310,15589376
75,1418.610,15564800
76,1413.630,15441920
77,1289.360,15536128
78,1451.490,15540224
79,1280.880,15675392
80,1296.520,15499264
81,1283.820,15499264
82,1287.230,15519744
83,1319.260,15560704
84,1296.080,15532032
85,1414.070,15589376
86,2020.570,15499264
87,1764.320,15626240
88,1787.790,15474688
89,1514.600,15560704
90,1444.900,15540224
91,1419.470,15646720
92,1414.370,15646720
93,1291.690,15638528
94,1289.650,15646720
95,1292.490,15572992
96,1287.810,15499264
97,1292.500,15532032
98,1286.690,15577088
99,1417.540,15577088
100,1410.620,15593472

Statistics:
Average Time,1354.917 ms
Max Time,2020.570 ms
Average Memory,14.853 MB
Max Memory,14.953 MB
