Run,Time(ms),Memory(Bytes)
1,26.512,8245248
2,26.614,8175616
3,27.381,8273920
4,150.747,8347648
5,26.335,8204288
6,26.383,8245248
7,26.315,8376320
8,26.579,8278016
9,151.071,8175616
10,26.168,8192000
11,26.374,8294400
12,26.655,8257536
13,27.008,8241152
14,151.163,8175616
15,26.599,8359936
16,26.754,8187904
17,26.237,8220672
18,26.697,8273920
19,152.705,8261632
20,26.343,8245248
21,26.604,8359936
22,27.064,8368128
23,26.486,8347648
24,151.638,8343552
25,26.524,8273920
26,26.687,8364032
27,151.007,8179712
28,26.360,8175616
29,26.788,8232960
30,26.545,8347648
31,26.234,8187904
32,151.041,8265728
33,26.314,8364032
34,26.302,8364032
35,26.366,8269824
36,26.307,8232960
37,152.411,8241152
38,26.360,8192000
39,26.935,8372224
40,26.500,8351744
41,26.538,8347648
42,151.004,8245248
43,26.639,8294400
44,26.456,8261632
45,26.233,8273920
46,27.016,8359936
47,151.767,8343552
48,26.660,8273920
49,26.610,8290304
50,26.264,8368128
51,26.502,8179712
52,151.117,8257536
53,26.277,8347648
54,26.429,8380416
55,26.487,8359936
56,26.577,8290304
57,150.902,8204288
58,26.298,8269824
59,27.380,8364032
60,26.308,8273920
61,26.684,8359936
62,150.920,8359936
63,26.413,8241152
64,26.319,8327168
65,26.565,8241152
66,26.860,8237056
67,150.583,8265728
68,26.257,8278016
69,26.840,8269824
70,26.432,8241152
71,26.216,8257536
72,150.760,8339456
73,26.527,8359936
74,26.380,8368128
75,26.402,8278016
76,26.259,8327168
77,152.628,8323072
78,26.264,8368128
79,26.115,8372224
80,26.412,8323072
81,26.101,8261632
82,150.972,8232960
83,26.897,8273920
84,26.289,8224768
85,26.592,8265728
86,26.596,8327168
87,152.146,8380416
88,26.326,8220672
89,27.066,8343552
90,26.363,8237056
91,26.170,8359936
92,150.433,8273920
93,26.243,8216576
94,26.139,8192000
95,26.945,8323072
96,26.355,8179712
97,150.019,8245248
98,26.267,8261632
99,26.359,8294400
100,26.351,8273920

Statistics:
Average Time,51.450 ms
Max Time,152.705 ms
Average Memory,7.900 MB
Max Memory,7.992 MB
