Run,Time(ms),Memory(Bytes)
1,668.129,15589376
2,668.653,15642624
3,671.939,15564800
4,542.890,15536128
5,544.174,15486976
6,541.935,15466496
7,669.087,15646720
8,668.188,15671296
9,541.762,15650816
10,541.500,15446016
11,545.543,15663104
12,669.122,15523840
13,668.514,15646720
14,543.876,15622144
15,548.287,15486976
16,546.694,15679488
17,666.692,15589376
18,668.548,15503360
19,667.110,15650816
20,677.652,15474688
21,541.729,15560704
22,545.746,15646720
23,545.309,15622144
24,669.484,15577088
25,669.064,15667200
26,669.684,15589376
27,542.872,15642624
28,543.747,15540224
29,540.988,15626240
30,671.200,15536128
31,669.040,15499264
32,545.662,15503360
33,543.406,15564800
34,542.726,15646720
35,669.065,15679488
36,667.058,15679488
37,543.642,15675392
38,542.990,15646720
39,552.331,15499264
40,541.747,15589376
41,541.268,15671296
42,669.396,15491072
43,668.704,15536128
44,542.701,15544320
45,543.309,15540224
46,542.834,15659008
47,543.420,15560704
48,669.540,15568896
49,541.338,15667200
50,542.261,15532032
51,542.642,15540224
52,666.479,15589376
53,665.047,15646720
54,542.578,15589376
55,541.564,15486976
56,667.202,15671296
57,666.317,15650816
58,543.332,15572992
59,551.584,15478784
60,542.826,15675392
61,541.927,15556608
62,670.522,15659008
63,670.126,15572992
64,544.185,15503360
65,547.152,15679488
66,550.672,15572992
67,547.758,15540224
68,545.538,15663104
69,545.559,15622144
70,669.535,15499264
71,671.405,15478784
72,543.245,15556608
73,543.661,15626240
74,542.766,15577088
75,541.554,15577088
76,667.625,15572992
77,667.837,15593472
78,542.233,15671296
79,541.191,15642624
80,568.937,15577088
81,542.945,15626240
82,668.192,15667200
83,667.497,15540224
84,543.287,15659008
85,544.273,15572992
86,543.912,15626240
87,668.198,15491072
88,672.914,15519744
89,542.635,15560704
90,544.405,15560704
91,542.236,15646720
92,545.137,15560704
93,669.232,15564800
94,666.902,15568896
95,541.850,15499264
96,541.609,15667200
97,542.698,15499264
98,668.639,15474688
99,669.339,15626240
100,668.693,15577088

Statistics:
Average Time,594.101 ms
Max Time,677.652 ms
Average Memory,14.863 MB
Max Memory,14.953 MB
