Run,Time(ms),Memory(Bytes)
1,0.080,6942720
2,0.078,6938624
3,0.078,7032832
4,0.077,6848512
5,0.081,6930432
6,0.078,6918144
7,0.078,6995968
8,0.079,6905856
9,0.078,6852608
10,0.077,6922240
11,0.078,7008256
12,0.077,6995968
13,0.078,6901760
14,0.078,6938624
15,0.077,7032832
16,0.078,6938624
17,0.077,6938624
18,0.080,6852608
19,0.078,6914048
20,0.078,7028736
21,0.087,7049216
22,0.078,7061504
23,0.078,6938624
24,0.078,6901760
25,0.080,6926336
26,0.078,6918144
27,0.078,6848512
28,0.077,6942720
29,0.078,6897664
30,0.081,6942720
31,0.081,6914048
32,0.077,6668288
33,0.085,6668288
34,0.078,7045120
35,0.086,6942720
36,0.084,7004160
37,0.079,6856704
38,0.083,7008256
39,0.083,7045120
40,0.078,7032832
41,0.078,6668288
42,0.078,6647808
43,0.077,6787072
44,0.078,6729728
45,0.119,6590464
46,0.078,6938624
47,0.077,6918144
48,0.078,6680576
49,0.077,6901760
50,0.077,6897664
51,0.078,6914048
52,0.078,6848512
53,0.078,7004160
54,0.077,6914048
55,0.078,7004160
56,0.078,6901760
57,0.078,7057408
58,0.078,6938624
59,0.079,6848512
60,0.080,7053312
61,0.079,6656000
62,0.081,6991872
63,0.078,6774784
64,0.081,6737920
65,0.082,6631424
66,0.078,6742016
67,0.078,6586368
68,0.120,7012352
69,0.078,6848512
70,0.077,6914048
71,0.077,6672384
72,0.077,6897664
73,0.081,6631424
74,0.081,6852608
75,0.078,6856704
76,0.081,6938624
77,0.078,6914048
78,0.078,6938624
79,0.078,6635520
80,0.078,6709248
81,0.078,6995968
82,0.077,6938624
83,0.078,6299648
84,0.078,7004160
85,0.078,6361088
86,0.078,6918144
87,0.078,6914048
88,0.082,6758400
89,0.078,6631424
90,0.078,6660096
91,0.080,6905856
92,0.077,6852608
93,0.077,6950912
94,0.077,6995968
95,0.080,6914048
96,0.077,6930432
97,0.081,6901760
98,0.078,7032832
99,0.077,6852608
100,0.080,6950912

Statistics:
Average Time,0.080 ms
Max Time,0.120 ms
Average Memory,6.556 MB
Max Memory,6.734 MB
