Run,Time(ms),Memory(Bytes)
1,291.566,6901760
2,292.740,6930432
3,417.908,7045120
4,417.172,6950912
5,291.528,7008256
6,297.423,6942720
7,290.279,7000064
8,292.682,6995968
9,291.064,6901760
10,291.711,6914048
11,415.854,7045120
12,418.202,6848512
13,290.614,6930432
14,291.109,6848512
15,293.343,7004160
16,417.133,6860800
17,416.927,6905856
18,293.243,6946816
19,292.597,7049216
20,293.592,7000064
21,415.847,6897664
22,291.511,6901760
23,292.095,6901760
24,290.651,6975488
25,416.852,6938624
26,290.094,6914048
27,292.018,6950912
28,290.980,6914048
29,291.060,6938624
30,417.283,6938624
31,421.937,7032832
32,292.523,6918144
33,292.536,6942720
34,292.879,7008256
35,417.511,6930432
36,415.838,6914048
37,294.580,7008256
38,291.822,7049216
39,291.523,7000064
40,291.898,6860800
41,417.192,6819840
42,291.133,6893568
43,290.787,7032832
44,293.761,7053312
45,292.257,6938624
46,417.328,6840320
47,291.972,7057408
48,291.551,6950912
49,291.111,6897664
50,291.697,6955008
51,418.022,6856704
52,416.776,6840320
53,291.225,6942720
54,289.878,7053312
55,292.214,6914048
56,417.885,6938624
57,416.985,6942720
58,291.760,7000064
59,416.023,6942720
60,290.816,6914048
61,292.932,6897664
62,292.700,6914048
63,417.570,7032832
64,421.221,6860800
65,292.091,7032832
66,292.560,7626752
67,291.296,6995968
68,417.296,7008256
69,290.621,7032832
70,291.783,6901760
71,291.578,6918144
72,417.941,6914048
73,417.867,6950912
74,291.756,6852608
75,291.698,6942720
76,291.506,7000064
77,416.196,7057408
78,416.236,6926336
79,291.730,6930432
80,292.599,6995968
81,291.468,7053312
82,416.971,6950912
83,416.721,6856704
84,290.651,7032832
85,291.325,7028736
86,291.512,6926336
87,419.618,6860800
88,290.079,6938624
89,291.100,6914048
90,292.117,7012352
91,416.607,6897664
92,416.371,7053312
93,290.538,6942720
94,291.200,6897664
95,290.447,6856704
96,293.629,7049216
97,418.000,6942720
98,416.620,6918144
99,292.280,7008256
100,293.081,7008256

Statistics:
Average Time,333.280 ms
Max Time,421.937 ms
Average Memory,6.635 MB
Max Memory,7.273 MB
