Run,Time(ms),Memory(Bytes)
1,23.417,6856704
2,148.703,6914048
3,23.184,6930432
4,23.342,7053312
5,23.262,7000064
6,23.239,6856704
7,23.561,6848512
8,23.627,7045120
9,23.367,6881280
10,23.254,7028736
11,147.017,7045120
12,23.332,7057408
13,147.799,7000064
14,23.315,7000064
15,23.305,6938624
16,23.352,6893568
17,23.530,7004160
18,23.424,6938624
19,23.520,7012352
20,23.189,6860800
21,23.087,7008256
22,148.710,7028736
23,24.167,6926336
24,149.028,6930432
25,23.594,6905856
26,23.393,6901760
27,23.496,7028736
28,23.360,7000064
29,23.421,6905856
30,23.314,6942720
31,23.165,7000064
32,23.216,6926336
33,146.892,6995968
34,23.601,6930432
35,148.014,7012352
36,23.266,6930432
37,23.106,7032832
38,23.229,6901760
39,23.366,6836224
40,23.361,7008256
41,23.931,6905856
42,23.258,7008256
43,23.301,7045120
44,147.783,6918144
45,23.144,6926336
46,147.922,6950912
47,23.048,7692288
48,22.993,7012352
49,23.317,6901760
50,23.667,7004160
51,23.762,6926336
52,23.411,7057408
53,23.340,6860800
54,23.520,6955008
55,147.837,6926336
56,23.326,7008256
57,146.710,6914048
58,23.553,6955008
59,23.214,6914048
60,23.502,7000064
61,23.227,6995968
62,23.505,6860800
63,23.573,7053312
64,23.468,7012352
65,23.518,6856704
66,147.632,6930432
67,23.306,7000064
68,147.220,6856704
69,23.580,7000064
70,23.663,6918144
71,23.262,6901760
72,23.453,7057408
73,23.470,7061504
74,23.696,7020544
75,23.577,7045120
76,32.961,6938624
77,30.016,6914048
78,23.250,7004160
79,23.841,6930432
80,23.668,6856704
81,23.606,7057408
82,23.686,6926336
83,24.585,6918144
84,23.424,6840320
85,147.709,6852608
86,23.375,6860800
87,147.582,7004160
88,23.516,6897664
89,23.503,6897664
90,23.514,7045120
91,23.293,6901760
92,23.487,7028736
93,23.206,6955008
94,23.568,6852608
95,23.184,7008256
96,23.760,7008256
97,23.767,7000064
98,148.474,6905856
99,23.660,6995968
100,146.997,7053312

Statistics:
Average Time,44.738 ms
Max Time,149.028 ms
Average Memory,6.642 MB
Max Memory,7.336 MB
