Run,Time(ms),Memory(Bytes)
1,716.309,6938624
2,715.052,7057408
3,714.432,6930432
4,714.724,7012352
5,588.026,6942720
6,714.652,6926336
7,714.652,6901760
8,712.993,6901760
9,716.506,6950912
10,592.889,6905856
11,715.977,6918144
12,716.825,7057408
13,714.540,7004160
14,588.240,6905856
15,589.941,6848512
16,715.683,6897664
17,718.143,6950912
18,714.914,6918144
19,715.686,6897664
20,592.904,6856704
21,714.281,6914048
22,715.315,6950912
23,714.090,6897664
24,714.627,6930432
25,592.868,6897664
26,588.359,6934528
27,716.681,7000064
28,714.799,6901760
29,717.197,6897664
30,589.276,6942720
31,592.271,6848512
32,717.772,6848512
33,718.583,6950912
34,719.561,6856704
35,591.923,7000064
36,718.531,6852608
37,594.034,6852608
38,719.517,6938624
39,716.694,6942720
40,716.032,7049216
41,594.573,7000064
42,715.260,6942720
43,717.413,7008256
44,718.481,7053312
45,590.784,7045120
46,718.835,6897664
47,720.755,6926336
48,719.090,7000064
49,720.897,7000064
50,721.107,6995968
51,718.790,6914048
52,721.066,6926336
53,599.010,6897664
54,724.795,6901760
55,717.356,6897664
56,721.241,6938624
57,719.340,7057408
58,718.999,6926336
59,718.686,7012352
60,591.459,6995968
61,717.494,7045120
62,721.760,6901760
63,717.452,6942720
64,597.374,6914048
65,717.771,6918144
66,714.676,7057408
67,723.853,7045120
68,594.042,6934528
69,718.016,6901760
70,714.810,7000064
71,712.490,7032832
72,587.008,6938624
73,588.700,7032832
74,712.080,6918144
75,717.825,7012352
76,715.960,6991872
77,591.182,7057408
78,713.807,6852608
79,717.040,6905856
80,718.792,6852608
81,604.660,6995968
82,715.183,6901760
83,718.032,6918144
84,589.740,6914048
85,714.644,7053312
86,714.909,6856704
87,715.036,7045120
88,715.652,6987776
89,591.955,6914048
90,713.954,6955008
91,715.629,7000064
92,720.057,6938624
93,590.058,6991872
94,717.896,6848512
95,717.546,6934528
96,716.928,7049216
97,716.743,7045120
98,589.867,6901760
99,714.438,6926336
100,719.037,6926336

Statistics:
Average Time,685.775 ms
Max Time,724.795 ms
Average Memory,6.626 MB
Max Memory,6.730 MB
