Run,Time(ms),Memory(Bytes)
1,23.059,11231232
2,23.392,11325440
3,22.876,11321344
4,23.199,11296768
5,23.206,11317248
6,23.200,11235328
7,23.638,11333632
8,23.429,11218944
9,22.589,11149312
10,22.772,11300864
11,22.923,11149312
12,22.492,11333632
13,22.304,11337728
14,23.843,11239424
15,22.989,11300864
16,22.548,11235328
17,22.681,11165696
18,23.406,11247616
19,22.454,11264000
20,22.317,11251712
21,22.402,11337728
22,23.253,11243520
23,22.494,11206656
24,22.332,11296768
25,22.518,11247616
26,22.514,11296768
27,22.390,11341824
28,23.108,11345920
29,24.719,11321344
30,22.613,11317248
31,23.540,11317248
32,23.037,11218944
33,22.759,11300864
34,22.436,11231232
35,22.289,11177984
36,22.269,11194368
37,22.651,11251712
38,22.255,11206656
39,22.900,11214848
40,24.105,11239424
41,22.540,11210752
42,23.238,11173888
43,22.809,11235328
44,22.399,11214848
45,23.262,11300864
46,22.686,11296768
47,22.891,11239424
48,22.431,11247616
49,23.186,11177984
50,22.493,11337728
51,22.713,11251712
52,23.044,11165696
53,22.638,11235328
54,22.582,11149312
55,22.526,11300864
56,23.061,11157504
57,22.449,11165696
58,22.542,11235328
59,22.269,11317248
60,22.301,11321344
61,22.320,11239424
62,22.855,11239424
63,22.563,11177984
64,22.491,11341824
65,23.028,11235328
66,22.839,11214848
67,29.314,11239424
68,22.284,11161600
69,22.881,11173888
70,23.501,11247616
71,22.530,11206656
72,22.610,11177984
73,22.625,11317248
74,22.524,11345920
75,23.147,11243520
76,23.804,11235328
77,23.714,11345920
78,22.425,11235328
79,23.031,11243520
80,23.573,11268096
81,22.917,11251712
82,23.444,11321344
83,22.640,11354112
84,22.793,11173888
85,22.391,11264000
86,22.925,11325440
87,22.608,11350016
88,22.272,11149312
89,22.820,11210752
90,23.141,11268096
91,22.625,11333632
92,22.349,11325440
93,22.525,11321344
94,22.530,11239424
95,22.364,11296768
96,23.899,11337728
97,22.323,11153408
98,22.878,11206656
99,22.877,11235328
100,22.716,11247616

Statistics:
Average Time,22.891 ms
Max Time,29.314 ms
Average Memory,10.734 MB
Max Memory,10.828 MB
