Run,Time(ms),Memory(Bytes)
1,5.055,11341824
2,5.017,11345920
3,5.044,11341824
4,5.016,11132928
5,5.040,11173888
6,5.015,11296768
7,6.306,11177984
8,5.044,11173888
9,5.085,11190272
10,5.007,11276288
11,5.336,11255808
12,4.991,11157504
13,4.957,11276288
14,4.996,11255808
15,5.012,11149312
16,5.087,11264000
17,5.009,11247616
18,5.229,11149312
19,5.059,11268096
20,5.202,11153408
21,5.048,11264000
22,5.017,11264000
23,5.006,11132928
24,5.073,11296768
25,5.021,11354112
26,4.993,11223040
27,5.048,11272192
28,5.037,11173888
29,5.016,11276288
30,5.011,11149312
31,4.991,11149312
32,4.993,11350016
33,4.966,11259904
34,124.315,11149312
35,5.030,11300864
36,5.044,11268096
37,4.993,11276288
38,4.995,11153408
39,4.984,11231232
40,5.022,11276288
41,4.980,11235328
42,5.101,11173888
43,4.969,11255808
44,4.987,11345920
45,5.028,11157504
46,4.945,11153408
47,4.980,11259904
48,4.986,11177984
49,4.990,11165696
50,4.982,11161600
51,5.005,11235328
52,5.017,11173888
53,5.125,11272192
54,5.139,11153408
55,5.011,11173888
56,4.991,11153408
57,5.000,11255808
58,5.102,11157504
59,4.987,11259904
60,5.036,11300864
61,4.978,11173888
62,124.819,11341824
63,5.045,11276288
64,5.089,11202560
65,5.051,11153408
66,5.030,11153408
67,5.012,11173888
68,5.051,11264000
69,5.015,11145216
70,5.044,11300864
71,5.049,11272192
72,5.074,11231232
73,4.985,11149312
74,4.998,11259904
75,5.102,11145216
76,5.040,11345920
77,4.982,11157504
78,5.017,11173888
79,4.980,11247616
80,4.866,11173888
81,124.431,11354112
82,5.002,11276288
83,4.930,11272192
84,5.008,11153408
85,4.949,11177984
86,5.027,11177984
87,4.996,11153408
88,5.007,11272192
89,4.971,11251712
90,5.033,11231232
91,5.071,11251712
92,5.308,11296768
93,5.043,11354112
94,5.059,11350016
95,5.014,11149312
96,4.924,11247616
97,5.025,11345920
98,5.039,11264000
99,5.089,11264000
100,5.223,11173888

Statistics:
Average Time,8.628 ms
Max Time,124.819 ms
Average Memory,10.710 MB
Max Memory,10.828 MB
