Run,Time(ms),Memory(Bytes)
1,740.169,11350016
2,739.263,11247616
3,739.083,11235328
4,741.092,11251712
5,739.422,11247616
6,739.007,11149312
7,616.173,11264000
8,742.409,11247616
9,739.274,11177984
10,744.597,11354112
11,744.648,11177984
12,739.699,11264000
13,747.155,11255808
14,741.923,11247616
15,741.153,11264000
16,744.099,11255808
17,747.498,11251712
18,762.766,11264000
19,746.428,11341824
20,742.895,11259904
21,737.144,11177984
22,735.883,11145216
23,740.813,11198464
24,741.849,11243520
25,748.078,11153408
26,743.950,11350016
27,737.265,11235328
28,740.353,11259904
29,737.715,11341824
30,733.057,11153408
31,735.081,11264000
32,738.795,11173888
33,737.002,11231232
34,738.685,11247616
35,741.858,11345920
36,742.276,11276288
37,742.210,11268096
38,740.709,11345920
39,747.842,11157504
40,740.399,11132928
41,745.785,11235328
42,739.150,11173888
43,738.426,11264000
44,743.745,11268096
45,744.120,11276288
46,742.691,11272192
47,747.263,11173888
48,740.690,11341824
49,743.803,11153408
50,752.505,11255808
51,747.747,11292672
52,746.915,11264000
53,750.183,11165696
54,744.770,11177984
55,746.655,11243520
56,750.509,11153408
57,751.301,11268096
58,746.982,11243520
59,745.408,11149312
60,746.901,11247616
61,751.721,11259904
62,750.120,11300864
63,745.183,11161600
64,743.293,11272192
65,746.513,11259904
66,744.790,11268096
67,746.314,11165696
68,745.985,11157504
69,744.775,11177984
70,753.666,11173888
71,754.185,11272192
72,753.520,11247616
73,890.150,11243520
74,753.226,11149312
75,754.540,11251712
76,749.626,11149312
77,746.812,11173888
78,755.325,11149312
79,745.751,11354112
80,747.651,11341824
81,746.732,11268096
82,756.717,11276288
83,757.477,11116544
84,749.514,11177984
85,738.654,11177984
86,746.501,11251712
87,743.065,11350016
88,741.415,11157504
89,743.647,11161600
90,743.494,11145216
91,741.814,11177984
92,743.553,11272192
93,740.297,11235328
94,743.330,11153408
95,744.590,11177984
96,749.370,11264000
97,746.144,11153408
98,743.258,11145216
99,743.229,11354112
100,750.650,11345920

Statistics:
Average Time,744.919 ms
Max Time,890.150 ms
Average Memory,10.713 MB
Max Memory,10.828 MB
