Run,Time(ms),Memory(Bytes)
1,5.191,11341824
2,5.199,11243520
3,5.163,11182080
4,127.457,11264000
5,5.136,11296768
6,5.265,11296768
7,5.397,11190272
8,5.143,11268096
9,5.175,11247616
10,5.158,11235328
11,5.168,11210752
12,124.862,11268096
13,5.307,11354112
14,5.191,11149312
15,5.149,11235328
16,5.170,11321344
17,5.134,11325440
18,5.134,11218944
19,5.192,11300864
20,124.649,11251712
21,5.147,11300864
22,5.201,11235328
23,5.208,11153408
24,5.332,11218944
25,5.149,11337728
26,5.174,11218944
27,5.108,11149312
28,125.561,11345920
29,5.162,11309056
30,5.113,11210752
31,5.122,11218944
32,5.112,11247616
33,5.152,11317248
34,5.200,11239424
35,5.191,11350016
36,125.251,11317248
37,5.148,11337728
38,5.334,11333632
39,5.136,11341824
40,5.185,11153408
41,5.133,11173888
42,5.140,11247616
43,5.122,11210752
44,123.390,11206656
45,5.172,11231232
46,5.143,11247616
47,5.096,11337728
48,5.126,11247616
49,5.087,11177984
50,5.177,11264000
51,5.158,11218944
52,125.500,11251712
53,5.104,11354112
54,5.202,11350016
55,5.243,11231232
56,5.181,11247616
57,5.136,11345920
58,5.107,11333632
59,5.134,11239424
60,5.148,11264000
61,5.139,11333632
62,5.159,11239424
63,5.130,11268096
64,5.146,11296768
65,5.223,11317248
66,5.225,11177984
67,5.224,11345920
68,5.174,11264000
69,5.177,11214848
70,5.226,11206656
71,5.173,11309056
72,5.423,11173888
73,5.215,11177984
74,5.146,11231232
75,5.132,11345920
76,5.255,11149312
77,5.886,11296768
78,5.230,11218944
79,5.197,11350016
80,5.122,11341824
81,5.108,11231232
82,5.118,11354112
83,5.138,11214848
84,125.206,11321344
85,5.164,11165696
86,5.161,11264000
87,5.160,11321344
88,5.189,11165696
89,5.324,11206656
90,5.121,11235328
91,5.122,11231232
92,124.694,11149312
93,5.162,11264000
94,5.230,11247616
95,5.094,11157504
96,5.091,11247616
97,5.130,11247616
98,5.164,11321344
99,5.153,11264000
100,5.117,11247616

Statistics:
Average Time,15.980 ms
Max Time,127.457 ms
Average Memory,10.737 MB
Max Memory,10.828 MB
