Run,Time(ms),Memory(Bytes)
1,759.377,11210752
2,758.178,11333632
3,762.512,11350016
4,764.389,11321344
5,764.445,11350016
6,758.303,11243520
7,756.765,11345920
8,756.796,11296768
9,764.920,11337728
10,771.600,11337728
11,770.275,11321344
12,890.983,11218944
13,772.506,11247616
14,757.910,11210752
15,758.340,11321344
16,755.896,11243520
17,759.845,11218944
18,757.348,11239424
19,759.095,11161600
20,757.363,11141120
21,749.828,11341824
22,760.311,11264000
23,769.016,11325440
24,773.061,11296768
25,768.240,11214848
26,761.456,11243520
27,760.476,11157504
28,771.720,11350016
29,763.148,11247616
30,761.379,11268096
31,757.637,11239424
32,764.063,11210752
33,765.415,11206656
34,767.456,11337728
35,893.669,11218944
36,765.011,11313152
37,761.804,11337728
38,765.213,11149312
39,756.546,11333632
40,889.802,11321344
41,763.851,11325440
42,774.785,11296768
43,902.697,11268096
44,902.673,11194368
45,764.968,11223040
46,765.574,11268096
47,761.786,11206656
48,758.029,11341824
49,764.929,11337728
50,771.042,11243520
51,761.153,11243520
52,764.485,11210752
53,763.418,11235328
54,886.258,11337728
55,758.555,11341824
56,757.128,11210752
57,756.754,11214848
58,770.564,11317248
59,887.937,11251712
60,763.680,11206656
61,765.020,11218944
62,895.912,11300864
63,764.894,11149312
64,765.945,11268096
65,762.842,11325440
66,778.349,11153408
67,760.653,11341824
68,893.363,11202560
69,761.876,11296768
70,765.294,11694080
71,764.251,11161600
72,765.418,11247616
73,763.614,11231232
74,761.431,11247616
75,761.298,11247616
76,768.406,11296768
77,767.395,11350016
78,758.605,11247616
79,880.894,11300864
80,761.304,11300864
81,761.901,11210752
82,762.405,11268096
83,762.528,11247616
84,759.900,11235328
85,773.913,11243520
86,767.207,11231232
87,784.450,11173888
88,772.014,11243520
89,893.320,11190272
90,763.961,11231232
91,766.772,11309056
92,893.361,11214848
93,769.947,11350016
94,772.539,11296768
95,767.451,11251712
96,775.551,11202560
97,770.852,11247616
98,768.177,11218944
99,758.159,11247616
100,761.962,11194368

Statistics:
Average Time,779.555 ms
Max Time,902.697 ms
Average Memory,10.743 MB
Max Memory,11.152 MB
