Run,Time(ms),Memory(Bytes)
1,4.781,11231232
2,4.718,11218944
3,4.687,11235328
4,4.658,11264000
5,4.752,11317248
6,4.991,11235328
7,4.720,11296768
8,4.654,11321344
9,4.718,11251712
10,4.686,11251712
11,4.685,11231232
12,4.693,11341824
13,4.666,11214848
14,4.737,11268096
15,4.676,11239424
16,4.661,11161600
17,127.283,11268096
18,4.642,11173888
19,4.780,11333632
20,4.702,11317248
21,4.636,11272192
22,4.697,11354112
23,4.674,11321344
24,4.700,11243520
25,4.644,11321344
26,4.853,11247616
27,4.700,11153408
28,4.692,11210752
29,4.776,11325440
30,4.799,11264000
31,4.657,11149312
32,4.671,11218944
33,4.750,11235328
34,4.739,11218944
35,4.721,11210752
36,4.654,11247616
37,4.680,11247616
38,4.663,11231232
39,4.657,11165696
40,4.724,11341824
41,4.661,11206656
42,4.721,11235328
43,4.707,11235328
44,4.718,11247616
45,4.684,11194368
46,4.915,11325440
47,4.696,11231232
48,4.735,11345920
49,4.676,11161600
50,4.628,11264000
51,4.757,11345920
52,4.842,11300864
53,4.640,11149312
54,4.699,11239424
55,4.689,11350016
56,4.755,11350016
57,4.833,11321344
58,4.760,11177984
59,4.718,11177984
60,4.658,11231232
61,4.668,11325440
62,4.679,11247616
63,4.789,11239424
64,4.701,11317248
65,4.852,11173888
66,4.682,11341824
67,127.592,11243520
68,4.760,11194368
69,4.963,11239424
70,4.678,11300864
71,4.899,11243520
72,4.801,11161600
73,4.839,11300864
74,4.835,11317248
75,4.696,11239424
76,4.736,11350016
77,4.736,11161600
78,4.717,11321344
79,4.781,11333632
80,4.920,11239424
81,4.681,11239424
82,4.826,11264000
83,4.655,11153408
84,4.835,11247616
85,4.730,11173888
86,4.673,11325440
87,4.650,11153408
88,4.713,11235328
89,4.717,11354112
90,4.870,11247616
91,4.694,11165696
92,127.223,11337728
93,4.750,11231232
94,4.935,11321344
95,4.767,11214848
96,4.692,11341824
97,4.687,11296768
98,4.682,11214848
99,4.792,11624448
100,4.669,11268096

Statistics:
Average Time,8.410 ms
Max Time,127.592 ms
Average Memory,10.738 MB
Max Memory,11.086 MB
