Run,Time(ms),Memory(Bytes)
1,1.070,6955008
2,4.426,11304960
3,4.353,11374592
4,1.077,7000064
5,4.550,10878976
6,1.059,7032832
7,1.107,6860800
8,1.023,6946816
9,1.173,7692288
10,1.064,7700480
11,1.058,6918144
12,1.049,6930432
13,1.021,6942720
14,1.124,6852608
15,1.010,7036928
16,1.160,7057408
17,1.078,6918144
18,1.078,6864896
19,1.130,6864896
20,1.099,7032832
21,1.056,6864896
22,1.179,7057408
23,1.090,6864896
24,1.025,7049216
25,1.177,6901760
26,4.254,11476992
27,1.040,7581696
28,1.350,7036928
29,1.095,6909952
30,1.077,6942720
31,1.080,7061504
32,1.011,7061504
33,1.077,8163328
34,1.040,7004160
35,1.077,6942720
36,0.992,6959104
37,1.204,6860800
38,1.113,6918144
39,1.061,6922240
40,1.014,7016448
41,1.082,6852608
42,1.091,7016448
43,1.016,7004160
44,1.254,6922240
45,1.019,6946816
46,1.087,6922240
47,1.031,7061504
48,1.095,6860800
49,1.096,6922240
50,1.014,7061504
51,1.128,6934528
52,1.102,7057408
53,1.081,7057408
54,1.011,7053312
55,1.136,6934528
56,1.149,6889472
57,1.118,6918144
58,1.095,7008256
59,4.404,10764288
60,1.088,6983680
61,1.073,6901760
62,1.225,7012352
63,1.058,6942720
64,1.060,7061504
65,1.159,7692288
66,1.132,6848512
67,1.067,7700480
68,1.076,6942720
69,1.146,7008256
70,1.062,7016448
71,1.081,8007680
72,1.062,7942144
73,1.127,6942720
74,1.109,7643136
75,1.090,6856704
76,1.037,6922240
77,1.120,7692288
78,1.074,6918144
79,1.155,6918144
80,1.227,6901760
81,1.113,6901760
82,1.037,6922240
83,1.125,6946816
84,1.169,7012352
85,1.089,6922240
86,4.380,11493376
87,1.015,7004160
88,1.089,7032832
89,1.271,7012352
90,1.140,6889472
91,1.049,6909952
92,1.231,6864896
93,1.096,7593984
94,1.046,7032832
95,1.026,6942720
96,0.987,7032832
97,1.055,6922240
98,1.123,7016448
99,1.196,7737344
100,1.078,6864896

Statistics:
Average Time,1.293 ms
Max Time,4.550 ms
Average Memory,6.970 MB
Max Memory,10.961 MB
