Run,Time(ms),Memory(Bytes)
1,18.152,11366400
2,18.156,11337728
3,18.723,11845632
4,18.551,11374592
5,25.955,11337728
6,23.676,11382784
7,15.171,7667712
8,18.519,11485184
9,138.914,7704576
10,18.250,11423744
11,18.634,11399168
12,18.357,11354112
13,18.967,11452416
14,15.084,7593984
15,18.516,11857920
16,19.138,11304960
17,18.752,11350016
18,14.869,7589888
19,19.127,11366400
20,18.888,11481088
21,139.433,7557120
22,18.622,11489280
23,15.487,7708672
24,15.621,7688192
25,18.589,11309056
26,143.308,11382784
27,15.398,7593984
28,15.620,7565312
29,18.395,11337728
30,19.171,11345920
31,141.836,11345920
32,18.214,11378688
33,21.021,11341824
34,18.472,11272192
35,15.344,7557120
36,18.629,11452416
37,142.725,11423744
38,19.403,11886592
39,18.163,11350016
40,18.339,11481088
41,15.392,7692288
42,140.076,7565312
43,18.542,11280384
44,18.896,11493376
45,18.306,11350016
46,18.750,11464704
47,15.175,7667712
48,15.048,7553024
49,19.031,11378688
50,15.037,7553024
51,18.332,11452416
52,18.634,11386880
53,18.483,11382784
54,18.611,11481088
55,14.955,7598080
56,14.984,7680000
57,15.044,7663616
58,18.167,12062720
59,14.959,7651328
60,14.760,7569408
61,18.630,11374592
62,14.682,7561216
63,18.404,11476992
64,18.345,11464704
65,18.512,11378688
66,18.323,11378688
67,18.637,11341824
68,14.833,7704576
69,143.402,11341824
70,19.064,11354112
71,18.688,11419648
72,19.091,11341824
73,18.615,11345920
74,18.401,11366400
75,14.936,7639040
76,18.515,11448320
77,15.188,7639040
78,18.637,11345920
79,18.489,11108352
80,18.376,11337728
81,143.169,11415552
82,18.406,11419648
83,20.770,11816960
84,18.485,11378688
85,18.753,11395072
86,143.424,11317248
87,18.657,11481088
88,15.209,7557120
89,18.315,11481088
90,18.659,11448320
91,18.571,11304960
92,18.164,11341824
93,14.928,7614464
94,18.270,11448320
95,18.673,11399168
96,19.445,11456512
97,14.669,7561216
98,143.367,11345920
99,15.326,7696384
100,18.346,11374592

Statistics:
Average Time,30.227 ms
Max Time,143.424 ms
Average Memory,9.877 MB
Max Memory,11.504 MB
