Run,Time(ms),Memory(Bytes)
1,451.221,11743232
2,327.167,11608064
3,323.964,11612160
4,335.325,11718656
5,449.540,11689984
6,455.271,11739136
7,456.121,11644928
8,450.316,11591680
9,446.148,11751424
10,331.014,11743232
11,323.100,11608064
12,325.723,11616256
13,321.712,11612160
14,449.065,11579392
15,450.053,11726848
16,448.939,11743232
17,451.989,11694080
18,450.559,11669504
19,451.770,12152832
20,452.609,11612160
21,452.436,11636736
22,326.110,11689984
23,323.017,11726848
24,325.697,11624448
25,339.658,11722752
26,445.898,11726848
27,452.312,11689984
28,446.688,11649024
29,450.632,11718656
30,452.856,11722752
31,446.775,11755520
32,451.863,11644928
33,452.919,11628544
34,455.747,11608064
35,450.366,11620352
36,453.436,11726848
37,320.701,11755520
38,327.181,11579392
39,324.387,11694080
40,338.092,12062720
41,323.579,11669504
42,322.709,11718656
43,322.866,11689984
44,452.431,11616256
45,448.242,11624448
46,455.652,11649024
47,456.076,11624448
48,459.189,11636736
49,325.682,11616256
50,331.442,11608064
51,322.702,11628544
52,327.417,11624448
53,447.116,11718656
54,449.039,11603968
55,451.518,11726848
56,453.071,11747328
57,470.511,11722752
58,325.239,11743232
59,322.782,11616256
60,322.407,11759616
61,452.632,11649024
62,446.430,11718656
63,448.759,11759616
64,446.648,11665408
65,445.423,11575296
66,456.892,11612160
67,330.285,11722752
68,325.038,11608064
69,456.033,11538432
70,445.855,11665408
71,447.703,11616256
72,456.265,11644928
73,450.065,11644928
74,451.975,11599872
75,459.934,11649024
76,450.282,11722752
77,447.688,11735040
78,324.642,11743232
79,326.890,11640832
80,327.757,11763712
81,322.195,11612160
82,449.475,11649024
83,452.899,11640832
84,456.464,11612160
85,329.174,11636736
86,326.377,11694080
87,327.733,11759616
88,323.487,11726848
89,459.277,11751424
90,468.583,11759616
91,451.981,11739136
92,329.429,11575296
93,326.907,11616256
94,325.619,11718656
95,322.822,11747328
96,324.104,11665408
97,321.637,11743232
98,319.520,11612160
99,450.397,11739136
100,445.293,12152832

Statistics:
Average Time,399.086 ms
Max Time,470.511 ms
Average Memory,11.145 MB
Max Memory,11.590 MB
