Run,Time(ms),Memory(Bytes)
1,245.435,7667712
2,240.346,7598080
3,256.643,11665408
4,241.076,7692288
5,244.243,7696384
6,247.629,7704576
7,243.377,11612160
8,252.531,11735040
9,230.201,7581696
10,109.948,7561216
11,239.905,7663616
12,257.485,11726848
13,235.263,7680000
14,261.438,11669504
15,103.633,7524352
16,225.148,7696384
17,240.765,7581696
18,237.728,7593984
19,236.850,7593984
20,247.582,7700480
21,280.063,7651328
22,243.566,7639040
23,244.580,11575296
24,253.621,11624448
25,252.282,11726848
26,243.128,7553024
27,455.069,7589888
28,435.635,7692288
29,300.515,11763712
30,443.337,11649024
31,432.903,7704576
32,295.129,7663616
33,244.560,7667712
34,242.237,11649024
35,253.226,11649024
36,234.797,7585792
37,428.269,11759616
38,253.902,11616256
39,238.011,7598080
40,240.687,11759616
41,248.659,7561216
42,243.774,11575296
43,241.650,7553024
44,243.249,7487488
45,234.509,7684096
46,244.984,7585792
47,244.681,7561216
48,256.467,11694080
49,250.009,7553024
50,231.896,7581696
51,244.947,7585792
52,232.158,7553024
53,120.999,7704576
54,224.783,7667712
55,249.321,7684096
56,255.314,11636736
57,248.620,11624448
58,255.779,11669504
59,252.649,11644928
60,246.346,7573504
61,235.785,7561216
62,241.696,7561216
63,240.937,11739136
64,100.534,7561216
65,234.578,7712768
66,246.002,7680000
67,232.057,7589888
68,242.234,7663616
69,381.521,11616256
70,240.029,7589888
71,233.256,7663616
72,244.358,7569408
73,380.156,11624448
74,249.196,11735040
75,240.219,7663616
76,248.889,7598080
77,244.303,7614464
78,236.285,7610368
79,232.402,7663616
80,244.916,7520256
81,241.237,11612160
82,244.429,11735040
83,240.899,7598080
84,239.447,7663616
85,255.100,11751424
86,237.506,7553024
87,236.851,7520256
88,101.028,7573504
89,240.614,7581696
90,245.813,7573504
91,246.571,7614464
92,245.018,7692288
93,115.197,7692288
94,241.562,7573504
95,250.133,11718656
96,249.379,7688192
97,226.605,7634944
98,417.021,11649024
99,256.739,11739136
100,240.679,7700480

Statistics:
Average Time,251.047 ms
Max Time,455.069 ms
Average Memory,8.465 MB
Max Memory,11.219 MB
