Run,Time(ms),Memory(Bytes)
1,421.363,13225984
2,420.597,13168640
3,431.828,13115392
4,427.722,13156352
5,296.561,13156352
6,296.759,13156352
7,296.584,13074432
8,422.931,13189120
9,422.009,13266944
10,423.509,13266944
11,297.420,13168640
12,296.433,13156352
13,297.973,13127680
14,299.378,13086720
15,421.633,13238272
16,421.745,13242368
17,298.516,13275136
18,296.992,13225984
19,296.153,13189120
20,295.400,13156352
21,421.865,13090816
22,420.723,13225984
23,296.107,13283328
24,295.228,13246464
25,295.839,13074432
26,421.478,13070336
27,421.654,13275136
28,297.396,13172736
29,297.494,13070336
30,296.798,13148160
31,297.900,13021184
32,423.676,13230080
33,425.745,13135872
34,304.740,13127680
35,421.854,13082624
36,428.086,13225984
37,422.408,13168640
38,297.189,13115392
39,297.031,13139968
40,298.293,13193216
41,300.335,13160448
42,297.308,13103104
43,421.445,13070336
44,421.831,13131776
45,297.233,13283328
46,298.505,13189120
47,296.234,13070336
48,419.088,13066240
49,423.730,13111296
50,423.105,13254656
51,296.112,13156352
52,295.086,13082624
53,298.479,13144064
54,422.097,13127680
55,423.897,13160448
56,297.776,13225984
57,295.660,13283328
58,296.981,13127680
59,422.753,13082624
60,422.456,13246464
61,295.363,13225984
62,297.258,13266944
63,298.774,13242368
64,420.814,13254656
65,546.316,13254656
66,298.955,13135872
67,297.167,13156352
68,426.349,13099008
69,421.192,13160448
70,296.520,13271040
71,296.220,13086720
72,294.713,13230080
73,298.874,13275136
74,422.123,13127680
75,431.118,13099008
76,297.053,13164544
77,297.054,13160448
78,295.900,13176832
79,296.930,13099008
80,423.157,13254656
81,425.824,13144064
82,428.279,13189120
83,427.485,13127680
84,420.442,13189120
85,423.678,13266944
86,297.801,13193216
87,295.323,13275136
88,297.013,13262848
89,423.296,13135872
90,422.139,13275136
91,420.965,13242368
92,294.534,13094912
93,294.860,13176832
94,297.869,13225984
95,420.378,13176832
96,421.933,13168640
97,295.610,13189120
98,297.458,13168640
99,301.531,13172736
100,296.976,13246464

Statistics:
Average Time,353.884 ms
Max Time,546.316 ms
Average Memory,12.564 MB
Max Memory,12.668 MB
