Run,Time(ms),Memory(Bytes)
1,359.953,13189120
2,481.993,13070336
3,483.300,13164544
4,361.507,13189120
5,487.116,13189120
6,483.856,13176832
7,360.806,13070336
8,485.120,13127680
9,485.806,13156352
10,359.349,13283328
11,485.466,13225984
12,484.098,13094912
13,360.681,13062144
14,486.567,13283328
15,486.809,13062144
16,486.154,13062144
17,485.845,13086720
18,482.489,13176832
19,485.461,13082624
20,484.099,13094912
21,482.830,13099008
22,486.407,13275136
23,483.725,13176832
24,483.199,13189120
25,483.637,13176832
26,485.058,13176832
27,484.865,13168640
28,362.057,13176832
29,484.480,13070336
30,484.862,13189120
31,484.613,13127680
32,482.327,13070336
33,485.614,13156352
34,490.007,13201408
35,488.221,13082624
36,485.126,13189120
37,483.071,13070336
38,488.587,13225984
39,485.328,13176832
40,358.922,13225984
41,481.523,13156352
42,483.915,13168640
43,485.972,13115392
44,486.885,13074432
45,483.572,13197312
46,489.472,13099008
47,510.781,13275136
48,483.779,13082624
49,483.634,13168640
50,483.429,13168640
51,482.476,13156352
52,359.379,13176832
53,483.969,13099008
54,485.423,13180928
55,359.210,13099008
56,487.056,13070336
57,484.255,13099008
58,358.405,13094912
59,484.310,13176832
60,488.494,13283328
61,483.679,13176832
62,482.906,13287424
63,485.877,13176832
64,491.723,13062144
65,483.486,13225984
66,483.393,13189120
67,483.661,13082624
68,485.181,13070336
69,481.564,13082624
70,483.708,13189120
71,482.104,13099008
72,481.355,13160448
73,487.398,13103104
74,484.316,13062144
75,483.680,13201408
76,483.671,13082624
77,484.871,13205504
78,483.327,13287424
79,483.489,13070336
80,485.012,13283328
81,484.055,13201408
82,483.743,13070336
83,486.835,13062144
84,484.330,13189120
85,359.002,13107200
86,483.454,13168640
87,483.655,13070336
88,484.733,13070336
89,483.045,13062144
90,490.249,13070336
91,484.544,13070336
92,484.193,13074432
93,485.417,13062144
94,485.074,13176832
95,484.847,13201408
96,483.363,13283328
97,485.051,13225984
98,484.943,13168640
99,485.560,13176832
100,485.589,13176832

Statistics:
Average Time,471.314 ms
Max Time,510.781 ms
Average Memory,12.539 MB
Max Memory,12.672 MB
