Run,Time(ms),Memory(Bytes)
1,24.695,7565312
2,148.261,7729152
3,24.538,7671808
4,157.763,7680000
5,24.567,7680000
6,148.162,7565312
7,24.726,7680000
8,149.430,7778304
9,24.415,7729152
10,24.600,7528448
11,24.237,7692288
12,25.004,7573504
13,24.737,7786496
14,24.766,7778304
15,24.623,7573504
16,24.422,7409664
17,148.818,7659520
18,24.535,7495680
19,148.662,7680000
20,24.330,7671808
21,147.772,7696384
22,24.251,7786496
23,24.395,7598080
24,24.294,7573504
25,24.538,7602176
26,24.605,7622656
27,24.559,7729152
28,24.346,7663616
29,24.249,7790592
30,148.135,7421952
31,24.417,7659520
32,149.363,7704576
33,24.630,7602176
34,147.683,7671808
35,24.845,7659520
36,24.375,7401472
37,24.555,7790592
38,24.416,7778304
39,24.284,7622656
40,24.462,7598080
41,24.485,7778304
42,24.288,7585792
43,147.907,7692288
44,24.337,7573504
45,149.281,7671808
46,24.340,7598080
47,149.231,7495680
48,24.378,7602176
49,24.408,7704576
50,24.449,7614464
51,24.537,7585792
52,24.865,7708672
53,24.335,7786496
54,24.689,7573504
55,24.271,7667712
56,148.113,7786496
57,24.671,7680000
58,150.152,7602176
59,24.437,7671808
60,149.282,7680000
61,24.803,7598080
62,24.321,7585792
63,24.376,7696384
64,24.250,7565312
65,24.566,7778304
66,24.401,7671808
67,24.716,7573504
68,24.657,7778304
69,148.541,7692288
70,24.744,7573504
71,149.509,7671808
72,24.542,7671808
73,147.983,7573504
74,24.193,7680000
75,24.123,7680000
76,24.157,7704576
77,24.178,7696384
78,25.909,7573504
79,24.315,7565312
80,24.548,7507968
81,24.619,7675904
82,24.506,7786496
83,24.272,7561216
84,148.995,7651328
85,24.351,7409664
86,148.661,7606272
87,24.419,7680000
88,149.654,7778304
89,24.198,7577600
90,24.251,7639040
91,24.590,7598080
92,24.510,7614464
93,24.734,7573504
94,24.400,7704576
95,24.471,7778304
96,24.653,7659520
97,24.438,7680000
98,24.325,7786496
99,148.079,7409664
100,24.696,7680000

Statistics:
Average Time,53.156 ms
Max Time,157.763 ms
Average Memory,7.292 MB
Max Memory,7.430 MB
