Run,Time(ms),Memory(Bytes)
1,0.171,6742016
2,0.173,6656000
3,0.203,6397952
4,0.173,6729728
5,0.169,6742016
6,0.175,6631424
7,0.170,6590464
8,0.200,6680576
9,0.167,6914048
10,0.167,6774784
11,0.186,6733824
12,0.171,6668288
13,0.205,6901760
14,0.174,6504448
15,0.171,6643712
16,0.170,6787072
17,0.176,6623232
18,0.176,6746112
19,0.174,6582272
20,0.170,6787072
21,0.177,7028736
22,0.170,6643712
23,0.170,6656000
24,0.171,6926336
25,0.171,7000064
26,0.173,6668288
27,0.203,6950912
28,0.169,6680576
29,0.169,6639616
30,0.178,6942720
31,0.170,6729728
32,0.206,6901760
33,0.179,7008256
34,0.170,7000064
35,0.190,6787072
36,0.172,7061504
37,0.172,7004160
38,0.167,7004160
39,0.170,6733824
40,0.167,6918144
41,0.174,7028736
42,0.170,6668288
43,0.171,6942720
44,0.166,6901760
45,0.174,7057408
46,0.173,6914048
47,0.169,6918144
48,0.169,6672384
49,0.170,7045120
50,0.174,6631424
51,0.171,6787072
52,0.169,6684672
53,0.169,6590464
54,0.170,6578176
55,0.170,6561792
56,0.183,6758400
57,0.178,6778880
58,0.170,6860800
59,0.167,6643712
60,0.270,6590464
61,0.171,6668288
62,0.167,6389760
63,0.196,6742016
64,0.175,6578176
65,0.168,6668288
66,0.175,6672384
67,0.172,6737920
68,0.225,6856704
69,0.169,6901760
70,0.168,7057408
71,0.171,7053312
72,0.169,6668288
73,0.168,6672384
74,0.220,7053312
75,0.170,6660096
76,0.168,6643712
77,0.191,6631424
78,0.168,7004160
79,0.171,6922240
80,0.174,7000064
81,0.215,6914048
82,0.172,6774784
83,0.171,6942720
84,0.169,6782976
85,0.170,7004160
86,0.171,6643712
87,0.169,6848512
88,0.168,6856704
89,0.170,7000064
90,0.168,7012352
91,0.169,6631424
92,0.188,7053312
93,0.175,7004160
94,0.175,6950912
95,0.167,7028736
96,0.175,6930432
97,0.174,7032832
98,0.167,7057408
99,0.170,6959104
100,0.170,6586368

Statistics:
Average Time,0.176 ms
Max Time,0.270 ms
Average Memory,6.488 MB
Max Memory,6.734 MB
