Run,Time(ms),Memory(Bytes)
1,0.109,6627328
2,0.103,6811648
3,0.101,7057408
4,0.100,6938624
5,0.111,6864896
6,0.101,6905856
7,0.103,7057408
8,0.100,7049216
9,0.101,7012352
10,0.106,7004160
11,0.145,7049216
12,0.109,6918144
13,0.107,6631424
14,0.103,6377472
15,0.101,6647808
16,0.105,6856704
17,0.112,6938624
18,0.102,6578176
19,0.101,6684672
20,0.103,6737920
21,0.102,6377472
22,0.100,6656000
23,0.107,6647808
24,0.117,7000064
25,0.105,6848512
26,0.105,6778880
27,0.100,7045120
28,0.101,6733824
29,0.103,6778880
30,0.141,6672384
31,0.106,6627328
32,0.102,6942720
33,0.101,6647808
34,0.104,7000064
35,0.103,6995968
36,0.104,6938624
37,0.101,6926336
38,0.101,6680576
39,0.101,6729728
40,0.103,6762496
41,0.101,6729728
42,0.101,6926336
43,0.122,6930432
44,0.107,6737920
45,0.101,6762496
46,0.101,6787072
47,0.108,7053312
48,0.146,6926336
49,0.100,6742016
50,0.100,7000064
51,0.101,6860800
52,0.104,6643712
53,0.101,6631424
54,0.103,6668288
55,0.103,6774784
56,0.111,6643712
57,0.102,6643712
58,0.103,6737920
59,0.104,6758400
60,0.101,6668288
61,0.102,6660096
62,0.101,6729728
63,0.108,6582272
64,0.103,6860800
65,0.103,6778880
66,0.107,6918144
67,0.106,6938624
68,0.143,7057408
69,0.101,6823936
70,0.102,6615040
71,0.106,7000064
72,0.100,7000064
73,0.102,6897664
74,0.101,6733824
75,0.102,6660096
76,0.111,6627328
77,0.100,6733824
78,0.102,6680576
79,0.101,6639616
80,0.107,6668288
81,0.108,6684672
82,0.101,6918144
83,0.103,6508544
84,0.102,6774784
85,0.108,6488064
86,0.109,6905856
87,0.108,6377472
88,0.101,6946816
89,0.105,6774784
90,0.156,6631424
91,0.101,6938624
92,0.118,6660096
93,0.103,6729728
94,0.101,6684672
95,0.109,6742016
96,0.101,6631424
97,0.172,6647808
98,0.101,6778880
99,0.101,6643712
100,0.101,6893568

Statistics:
Average Time,0.107 ms
Max Time,0.172 ms
Average Memory,6.467 MB
Max Memory,6.730 MB
