Run,Time(ms),Memory(Bytes)
1,427.084,13189120
2,426.902,13099008
3,425.674,13193216
4,300.286,13168640
5,299.856,13275136
6,300.409,13254656
7,301.075,13283328
8,300.766,13115392
9,426.161,13283328
10,426.123,13156352
11,427.017,13099008
12,299.567,13275136
13,299.131,13070336
14,300.003,13148160
15,300.713,13254656
16,303.280,13225984
17,425.543,13135872
18,425.602,13168640
19,425.237,13156352
20,300.654,13103104
21,299.862,13275136
22,300.524,13266944
23,300.493,13131776
24,300.000,13127680
25,300.517,13254656
26,426.833,13099008
27,427.503,13189120
28,428.658,13156352
29,297.505,13266944
30,302.732,13189120
31,298.815,13275136
32,424.858,13189120
33,425.574,13225984
34,425.784,13189120
35,426.425,13160448
36,299.435,13225984
37,303.562,13160448
38,300.965,13242368
39,301.446,13082624
40,299.017,13082624
41,425.107,13127680
42,300.738,13135872
43,300.630,13127680
44,300.235,13225984
45,301.455,13115392
46,426.618,13082624
47,425.832,13279232
48,425.573,13283328
49,299.101,13119488
50,299.005,13070336
51,301.019,13086720
52,303.601,13230080
53,425.221,13086720
54,424.377,13144064
55,423.513,13242368
56,299.737,13225984
57,301.069,13283328
58,300.231,13127680
59,303.439,13189120
60,427.302,13242368
61,426.879,13148160
62,426.109,13176832
63,424.795,13160448
64,427.076,13262848
65,301.411,13160448
66,425.254,13127680
67,299.473,13287424
68,301.075,13168640
69,300.532,13070336
70,299.545,13099008
71,425.953,13160448
72,425.376,13127680
73,302.626,13156352
74,300.723,13156352
75,302.496,13135872
76,427.315,13168640
77,428.153,13246464
78,425.585,13082624
79,428.407,13070336
80,300.336,13082624
81,299.775,13160448
82,301.681,13070336
83,303.577,13074432
84,303.276,13176832
85,425.723,13242368
86,427.858,13225984
87,426.075,13131776
88,425.756,13082624
89,301.627,13156352
90,463.448,13283328
91,427.797,13176832
92,427.446,13082624
93,298.897,13275136
94,303.179,13160448
95,721.385,13242368
96,714.922,13254656
97,658.076,10182656
98,531.687,13275136
99,532.680,13246464
100,496.599,13135872

Statistics:
Average Time,372.360 ms
Max Time,721.385 ms
Average Memory,12.537 MB
Max Memory,12.672 MB
