Run,Time(ms),Memory(Bytes)
1,23.835,7573504
2,148.242,7573504
3,23.303,7471104
4,22.973,7430144
5,24.116,7544832
6,23.546,7438336
7,149.015,7471104
8,22.852,7548928
9,24.048,7553024
10,23.117,7434240
11,25.075,7426048
12,25.010,7442432
13,22.773,7442432
14,148.141,7540736
15,23.165,7430144
16,22.789,7442432
17,23.691,7512064
18,23.575,7467008
19,148.685,7565312
20,22.457,7446528
21,147.826,7557120
22,24.269,7544832
23,21.945,7438336
24,22.863,7524352
25,25.188,7524352
26,147.496,7573504
27,23.115,7467008
28,22.506,7516160
29,23.190,7446528
30,23.648,7520256
31,24.484,7544832
32,23.044,7516160
33,148.808,7458816
34,24.394,7438336
35,23.288,7467008
36,22.699,7442432
37,22.275,7462912
38,23.919,7430144
39,23.638,7397376
40,149.716,7397376
41,23.451,7569408
42,23.298,7446528
43,23.153,7471104
44,23.126,7446528
45,23.067,7458816
46,21.940,7438336
47,147.933,7577600
48,23.284,7520256
49,23.745,7434240
50,24.317,7446528
51,23.770,7512064
52,148.323,7544832
53,23.026,7467008
54,146.511,7462912
55,23.110,7565312
56,23.110,7458816
57,24.024,7340032
58,24.514,7426048
59,148.644,7565312
60,22.974,7520256
61,22.619,7512064
62,23.676,7462912
63,24.211,7458816
64,22.271,7548928
65,23.823,7524352
66,149.705,7438336
67,22.914,7540736
68,24.161,7467008
69,23.469,7458816
70,23.560,7544832
71,22.688,7512064
72,22.729,7573504
73,148.328,7438336
74,22.721,7434240
75,23.989,7475200
76,23.785,7565312
77,24.878,7442432
78,147.167,7397376
79,24.395,7516160
80,23.549,7393280
81,22.896,7430144
82,22.891,7475200
83,23.704,7544832
84,23.619,7569408
85,150.090,7430144
86,22.436,7471104
87,23.068,7475200
88,23.284,7430144
89,23.844,7544832
90,148.775,7540736
91,23.090,7548928
92,23.520,7438336
93,23.698,7512064
94,25.308,7487488
95,22.977,7438336
96,24.202,7450624
97,148.238,7401472
98,23.378,7446528
99,22.104,7462912
100,23.970,7577600

Statistics:
Average Time,45.938 ms
Max Time,150.090 ms
Average Memory,7.138 MB
Max Memory,7.227 MB
